
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 22, 2006 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	56	100	178	1,261	1,734	6	36	98	300	169	256	867	2,183	7,112	7,737						
Ga.	-	4	27	43	88	-	1	11	15	8	8	37	88	295	286						
Md.	-	6	16	59	86	-	2	7	13	9	-	14	39	110	152						
N.C.	6	8	19	93	142	3	5	87	228	82	9	30	114	363	333						
S.C.	-	4	11	33	57	-	1	6	5	6	-	21	146	79	176						
Va.	-	0	26	175	36	-	1	10	2	3	-	20	66	142	199						
W. Va.	2	0	13	24	8	-	0	2	-	1	4	3	13	22	28						
E.S. CENTRAL	5	3	9	60	35	1	5	24	7	8	8	56	135	354	423						
Ala.	3	1	5	19	19	1	0	9	4	2	8	13	39	138	120						
Ky.	-	0	3	4	3	-	0	1	-	-	-	7	26	70	50						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	49	72						
Tenn.	2	1	5	37	13	-	3	18	3	6	-	14	41	97	181						
W.S. CENTRAL	1	13	30	202	347	1	2	34	5	5	10	85	889	783	582						
Ark.	1	0	3	8	10	1	0	32	4	-	3	16	67	233	75						
La.	-	0	0	-	-	-	0	2	-	2	-	14	42	78	152						
Okla.	-	1	7	13	34	-	0	23	-	3	7	6	26	61	62						
Tex.	-	12	26	181	303	-	0	8	1	-	-	45	849	411	293						
MOUNTAIN	3	4	16	32	74	-	0	6	1	16	32	48	110	444	511						
Ariz.	2	2	11	29	65	-	0	6	1	12	15	13	67	163	157						
Colo.	-	0	3	-	1	-	0	1	-	-	11	11	45	152	125						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	20	45						
Mont.	1	0	3	3	-	-	0	0	-	1	3	2	16	31	23						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	23	50						
N. Mex.	-	0	1	-	1	-	0	1	-	2	-	4	13	34	50						
Utah	-	0	5	-	-	-	0	0	-	-	-	4	30	-	51						
Wyo.	-	0	2	-	7	-	0	1	-	1	3	1	12	21	10						
PACIFIC	1	4	15	41	43	-	0	2	-	1	41	94	415	1,070	1,286						
Alaska	-	0	4	7	1	-	0	0	-	-	1	1	7	29	15						
Calif.	1	3	15	34	42	-	0	1	-	1	26	70	285	786	995						
Hawaii	-	0	0	-	-	-	0	0	-	-	2	5	15	58	83						
Oreg.	-	0	1	-	-	-	0	1	-	-	1	8	25	98	94						
Wash.	U	0	0	U	U	N	0	0	N	N	11	8	121	99	99						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
P.R.	-	2	4	28	26	N	0	0	N	N	-	7	23	15	102						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


