
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 3, 2012 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	12,436	26,768	30,645	1130506	1194997	236	382	585	14,901	18,999	62	127	279	6,130	8,274						
Del.	79	80	182	3,268	3,706	-	0	0	-	-	-	0	4	14	7						
D.C.	-	136	224	5,661	5,644	-	0	0	-	-	N	0	0	N	N						
Fla.	826	1,529	1,742	66,283	65,036	N	0	0	N	N	12	8	24	401	388						
Ga.	518	1,016	1,285	42,326	45,909	N	0	0	N	N	1	4	11	209	277						
Md.	205	446	1,100	20,161	22,208	-	0	1	4	5	-	1	7	77	62						
N.C.	932	932	1,678	39,624	45,682	N	0	0	N	N	-	0	46	86	35						
S.C.	-	527	1,278	23,028	23,790	N	0	0	N	N	-	1	4	41	115						
Va.	569	699	1,780	29,858	28,699	N	0	0	N	N	2	3	6	121	115						
W. Va.	-	88	149	3,839	3,596	N	0	0	N	N	-	0	4	2	27						
E.S. CENTRAL	785	1,897	2,820	80,977	84,324	-	0	0	-	-	2	5	14	238	412						
Ala.	-	554	796	18,722	25,214	N	0	0	N	N	1	2	6	90	121						
Ky.	283	339	787	14,972	13,757	N	0	0	N	N	-	1	4	49	169						
Miss.	247	411	1,168	19,945	18,663	N	0	0	N	N	-	1	4	36	43						
Tenn.	255	638	828	27,338	26,690	N	0	0	N	N	1	1	5	63	79						
W.S. CENTRAL	2,445	3,226	4,305	142,035	159,384	-	0	1	3	3	8	9	26	410	600						
Ark.	250	327	412	14,107	13,826	N	0	0	N	N	-	1	5	36	28						
La.	398	446	1,290	17,704	25,476	-	0	1	3	3	-	2	6	102	80						
Okla.	2	85	1,015	3,487	11,852	N	0	0	N	N	-	2	6	79	74						
Tex.	1,795	2,413	2,977	106,737	108,230	N	0	0	N	N	8	5	24	193	418						
MOUNTAIN	952	1,790	2,430	76,137	76,080	225	286	478	11,543	14,050	4	11	40	665	586						
Ariz.	161	589	872	25,854	24,701	223	282	476	11,378	13,838	1	1	3	33	41						
Colo.	356	425	705	18,492	18,199	N	0	0	N	N	-	1	7	56	135						
Idaho	1	85	174	3,493	3,845	N	0	0	N	N	3	3	24	235	101						
Mont.	-	73	107	3,159	2,877	-	0	1	2	5	-	1	5	56	71						
Nev.	310	211	268	8,529	9,160	2	2	7	99	86	-	0	2	9	16						
N. Mex.	91	210	463	9,365	9,463	-	0	7	20	68	-	2	7	83	123						
Utah	33	142	177	5,924	6,014	-	1	4	40	50	-	2	19	164	55						
Wyo.	-	33	59	1,321	1,821	-	0	2	4	3	-	0	4	29	44						
PACIFIC	1,486	4,015	4,660	172,390	184,814	11	82	144	3,188	4,778	7	11	25	555	565						
Alaska	37	105	150	4,632	5,014	N	0	0	N	N	-	0	1	4	12						
Calif.	858	3,135	3,687	134,061	143,248	11	82	144	3,185	4,767	6	6	15	299	301						
Hawaii	-	107	147	3,130	5,111	N	0	0	N	N	-	0	1	5	-						
Oreg.	194	266	368	11,758	11,682	-	0	1	3	11	1	4	11	188	181						
Wash.	397	448	612	18,809	19,759	-	0	10	-	-	-	1	8	59	71						
Amer. Samoa	-	0	59	59	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	21	22	-	900	-	0	0	-	-	-	0	0	-	-						
P.R.	170	106	289	4,867	4,672	N	0	0	N	N	N	0	0	N	N						
V.I.	-	13	26	326	709	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


