S. Dak.	-	0	4	-	-	-	0	4	-	5	-	0	0	-	-						
S. ATLANTIC	11	17	47	37	76	27	41	183	70	236	1	13	68	4	139						
Del.	-	0	1	-	1	-	0	0	-	-	-	0	3	1	-						
D.C.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	-						
Fla.	7	4	20	16	19	3	0	167	11	167	-	0	5	-	1						
Ga.	-	0	3	-	3	-	5	10	-	15	1	1	5	1	-						
Md.	3	2	7	10	25	-	6	13	-	12	-	1	6	1	4						
N.C.	-	0	33	-	17	4	9	22	22	13	-	5	61	-	133						
S.C.	1	3	11	2	11	-	3	11	3	9	-	0	5	-	1						
Va.	-	3	19	9	-	20	11	27	30	14	-	2	13	1	-						
W. Va.	-	0	9	-	-	-	2	7	4	6	-	0	2	-	-						
E.S. CENTRAL	-	6	28	6	25	-	4	16	-	12	-	6	31	-	1						
Ala.	-	2	19	4	7	-	1	8	-	2	-	2	11	-	-						
Ky.	-	0	5	-	2	-	0	4	-	-	-	0	1	-	-						
Miss.	-	1	4	1	6	-	0	2	-	-	-	0	1	-	-						
Tenn.	-	3	11	1	10	-	2	9	-	10	-	4	22	-	1						
W.S. CENTRAL	-	18	35	-	12	1	8	34	2	36	-	1	27	-	-						
Ark.	-	1	7	-	3	-	0	5	-	1	-	0	10	-	-						
La.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	9	-	-	1	1	9	2	3	-	0	18	-	-						
Tex.	-	16	32	-	8	-	7	29	-	32	-	0	4	-	-						
MOUNTAIN	16	43	88	59	230	-	3	27	2	8	-	0	5	1	-						
Ariz.	2	7	29	5	15	-	2	10	2	8	-	0	2	-	-						
Colo.	2	10	39	30	132	-	0	0	-	-	-	0	1	1	-						
Idaho	-	1	7	5	15	-	0	25	-	-	-	0	3	-	-						
Mont.	1	1	9	2	12	-	0	2	-	-	-	0	2	-	-						
Nev.	-	0	9	-	9	-	0	1	-	-	-	0	1	-	-						
N. Mex.	1	2	8	1	4	-	0	2	-	-	-	0	2	-	-						
Utah	8	13	39	10	37	-	0	1	-	-	-	0	2	-	-						
Wyo.	2	1	8	6	6	-	0	2	-	-	-	0	1	-	-						
PACIFIC	-	28	228	12	45	2	4	12	9	3	-	0	1	-	-						
Alaska	-	1	8	8	6	1	0	4	7	1	N	0	0	N	N						
Calif.	-	21	225	-	5	1	3	11	2	2	-	0	1	-	-						
Hawaii	-	1	6	-	14	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	2	8	3	17	-	0	4	-	-	-	0	1	-	-						
Wash.	-	5	46	1	3	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	1	1	6	6	6	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


