
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2013 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2013
Varicella (chickenpox) cummulative for 2012
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2013
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2013
West Nile virus disease † Non-neuroinvasive § cummulative for 2012

tab delimited data:
test
UNITED STATES	30	224	370	74	442	-	4	321	-	-	-	2	338	-	-						
S. Dak.	-	0	3	-	1	-	0	17	-	-	-	0	27	-	-						
S. ATLANTIC	1	25	76	1	55	-	0	20	-	-	-	0	19	-	-						
Del.	-	0	1	-	-	-	0	1	-	-	-	0	2	-	-						
D.C.	-	0	4	-	1	-	0	3	-	-	-	0	1	-	-						
Fla.	-	12	50	-	28	-	0	5	-	-	-	0	5	-	-						
Ga.	-	1	9	-	-	-	0	6	-	-	-	0	10	-	-						
Md.	N	0	0	N	N	-	0	5	-	-	-	0	5	-	-						
N.C.	N	0	0	N	N	-	0	4	-	-	-	0	0	-	-						
S.C.	-	0	2	-	-	-	0	5	-	-	-	0	2	-	-						
Va.	1	7	17	1	12	-	0	4	-	-	-	0	3	-	-						
W. Va.	-	3	12	-	14	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	3	13	3	11	-	0	20	-	-	-	0	21	-	-						
Ala.	-	3	12	3	8	-	0	7	-	-	-	0	3	-	-						
Ky.	N	0	0	N	N	-	0	3	-	-	-	0	2	-	-						
Miss.	-	0	3	-	3	-	0	12	-	-	-	0	17	-	-						
Tenn.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
W.S. CENTRAL	3	44	98	3	34	-	1	144	-	-	-	1	163	-	-						
Ark.	-	3	17	-	4	-	0	9	-	-	-	0	3	-	-						
La.	-	1	8	-	-	-	0	18	-	-	-	0	26	-	-						
Okla.	N	0	0	N	N	-	0	24	-	-	-	0	22	-	-						
Tex.	3	40	94	3	30	-	1	104	-	-	-	1	128	-	-						
MOUNTAIN	4	30	61	4	46	-	0	36	-	-	-	0	22	-	-						
Ariz.	-	9	26	-	18	-	0	9	-	-	-	0	6	-	-						
Colo.	-	8	25	-	13	-	0	17	-	-	-	0	13	-	-						
Idaho	N	0	0	N	N	-	0	1	-	-	-	0	3	-	-						
Mont.	3	2	8	3	4	-	0	1	-	-	-	0	2	-	-						
Nev.	N	0	0	N	N	-	0	1	-	-	-	0	2	-	-						
N. Mex.	-	1	8	-	3	-	0	9	-	-	-	0	5	-	-						
Utah	1	5	15	1	7	-	0	1	-	-	-	0	1	-	-						
Wyo.	-	0	2	-	1	-	0	1	-	-	-	0	2	-	-						
PACIFIC	2	3	8	2	4	-	0	31	-	-	-	0	26	-	-						
Alaska	2	1	4	2	-	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	3	-	2	-	0	31	-	-	-	0	25	-	-						
Hawaii	-	1	3	-	2	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Wash.	N	0	0	N	N	-	0	4	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	9	-	5	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not reportable in all states.  Data from states where the condition is not reportable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


