Miss.	-	0	2	2	-	-	0	10	3	9	-	0	16	1	4						
Tenn.	N	0	0	N	N	-	0	5	-	-	-	0	2	-	-						
W.S. CENTRAL	43	190	1,640	6,974	7,909	-	0	59	-	37	-	0	27	-	16						
Ark.	-	10	105	273	543	-	0	5	-	-	-	0	2	-	1						
La.	-	1	11	68	175	-	0	13	-	4	-	0	10	-	5						
Okla.	-	0	0	-	-	-	0	6	-	1	-	0	4	-	1						
Tex.	43	168	1,534	6,633	7,191	-	0	39	-	32	-	0	16	-	9						
MOUNTAIN	8	56	133	1,732	1,807	-	0	63	-	8	-	0	245	-	29						
Ariz.	-	0	0	-	-	-	0	10	-	-	-	0	14	-	1						
Colo.	7	22	62	638	940	-	0	11	-	2	-	0	51	-	6						
Idaho	N	0	0	N	N	-	0	32	-	6	-	0	174	-	17						
Mont.	-	4	40	271	N	-	0	3	-	-	-	0	8	-	-						
Nev.	-	0	1	1	9	-	0	9	-	-	-	0	17	-	4						
N. Mex.	1	5	39	272	297	-	0	1	-	-	-	0	1	-	-						
Utah	-	15	73	532	530	-	0	8	-	-	-	0	17	-	-						
Wyo.	-	0	11	18	31	-	0	7	-	-	-	0	10	-	1						
PACIFIC	-	0	9	24	-	-	0	15	-	4	-	0	51	-	13						
Alaska	-	0	9	24	N	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	N	-	0	15	-	4	-	0	37	-	10						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	2	-	-	-	0	14	-	3						
Wash.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	3	14	-	149	-	0	0	-	-	-	0	0	-	-						
P.R.	3	12	27	361	324	-	0	0	-	-	-	0	0	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


