
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 19, 2008 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	79	165	695	1,705	2,856	45	86	156	983	1,297	3	33	147	66	183						
Utah	8	5	38	78	118	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	2	14	-	0	4	4	-	-	0	2	-	2						
PACIFIC	5	16	243	155	258	1	4	10	31	61	-	0	2	1	1						
Alaska	-	1	6	22	9	-	0	3	9	26	N	0	0	N	N						
Calif.	-	8	32	23	170	-	3	8	21	35	-	0	2	1	1						
Hawaii	-	0	2	4	9	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	2	14	37	31	1	0	3	1	-	-	0	1	-	-						
Wash.	4	3	209	69	39	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	0	5	11	17	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


