E.N. CENTRAL	21	18	42	436	333	-	0	2	1	5	2	1	9	39	37						
Ill.	-	3	16	34	79	-	0	0	-	-	-	1	3	13	21						
Ind.	-	1	6	21	37	-	0	1	1	2	2	0	3	17	11						
Mich.	-	4	11	79	73	-	0	0	-	-	-	0	1	1	-						
Ohio	21	8	27	302	108	-	0	2	-	1	-	0	2	8	4						
Wis.	-	0	4	-	36	-	0	0	-	2	-	0	2	-	1						
W.N. CENTRAL	4	6	15	99	188	-	0	4	8	1	1	4	25	122	56						
Iowa	-	0	3	11	6	-	0	0	-	-	-	0	2	4	3						
Kans.	-	2	8	28	29	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	6	-	29	-	0	0	-	-	-	0	3	-	-						
Mo.	-	1	7	36	117	-	0	2	8	1	-	4	20	116	52						
Nebr.	4	0	7	23	3	-	0	3	-	-	1	0	1	2	1						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	1	1	4	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	52	76	135	1,372	1,616	2	1	12	26	39	65	10	57	232	82						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	4	11	9						
D.C.	-	0	5	10	7	-	0	0	-	1	-	0	1	1	-						
Fla.	40	49	97	904	1,147	-	0	1	1	2	1	0	4	13	1						
Ga.	2	15	24	247	228	1	1	9	20	31	-	0	0	-	-						
Md.	5	2	15	110	40	-	0	1	-	2	-	0	3	13	4						
N.C.	5	2	9	55	125	-	0	4	-	-	49	0	47	79	25						
S.C.	-	1	54	14	24	-	0	2	-	3	-	0	2	4	9						
Va.	-	1	7	30	40	1	0	1	5	-	15	5	15	111	33						
W. Va.	-	0	1	1	4	-	0	0	-	-	-	0	1	-	1						
E.S. CENTRAL	1	21	52	524	343	-	0	2	1	2	26	7	29	250	88						
Ala.	1	6	22	145	88	-	0	1	1	-	5	1	8	41	21						
Ky.	-	5	21	180	119	-	0	1	-	-	-	0	3	10	-						
Miss.	-	5	24	115	60	-	0	0	-	1	-	0	2	2	5						
Tenn.	-	4	11	84	76	-	0	2	-	1	21	5	21	197	62						
W.S. CENTRAL	36	61	189	917	1,091	-	0	6	2	-	10	9	292	146	11						
Ark.	1	2	5	21	40	-	0	3	1	-	9	7	63	114	1						
La.	-	7	25	68	170	-	0	0	-	-	-	0	2	2	1						
Okla.	-	5	55	129	40	-	0	5	-	-	-	0	260	3	4						
Tex.	35	42	122	699	841	-	0	1	1	-	1	1	13	27	5						
MOUNTAIN	-	11	41	154	337	-	0	3	5	12	-	1	7	27	24						
Ariz.	-	6	28	105	103	-	0	3	5	12	-	0	6	18	20						
Colo.	-	1	8	19	35	-	0	0	-	-	-	0	1	2	1						
Idaho	-	0	3	2	8	-	0	0	-	-	-	0	2	3	-						
Mont.	-	0	5	5	96	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	4	2	10	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	1	7	14	58	-	0	0	-	-	-	0	1	1	-						
Utah	-	1	3	7	26	-	0	1	-	-	-	0	1	2	1						
Wyo.	-	0	1	-	1	-	0	0	-	-	-	0	2	1	2						
PACIFIC	4	18	45	327	426	-	0	2	5	-	-	0	3	4	1						
Alaska	-	0	2	6	3	N	0	0	N	N	N	0	0	N	N						
Calif.	-	14	41	243	332	-	0	2	5	-	-	0	2	3	1						
Hawaii	-	0	3	9	28	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	6	29	23	-	0	0	-	-	-	0	1	1	-						
Wash.	4	1	10	40	40	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	0	-	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	3	-	6	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	1	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


