E.N. CENTRAL	2	11	41	373	395	9	18	38	406	440	76	213	576	9,565	3,687						
Ill.	-	1	3	11	15	-	8	23	197	248	-	1	5	12	54						
Ind.	-	2	21	101	120	-	1	4	31	36	N	0	347	N	70						
Mich.	-	0	4	15	28	9	1	19	53	36	13	102	174	2,905	2,345						
Ohio	2	6	32	246	232	-	4	11	103	105	63	82	420	6,228	932						
Wis.	N	0	0	N	N	-	1	3	22	15	-	10	41	420	286						
W.N. CENTRAL	-	1	191	28	27	-	4	9	110	136	-	20	84	911	226						
Iowa	N	0	0	N	N	-	0	3	8	4	N	0	0	N	N						
Kans.	N	0	0	N	N	-	0	2	12	11	-	0	0	-	-						
Minn.	-	0	191	-	-	-	1	3	13	42	-	0	0	-	-						
Mo.	-	1	3	28	22	-	3	8	76	76	-	15	82	854	141						
Nebr.	-	0	0	-	2	-	0	1	1	3	-	0	0	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	25	25	10						
S. Dak.	-	0	0	-	3	-	0	1	-	-	-	1	12	32	75						
S. ATLANTIC	12	24	53	798	663	11	42	186	925	954	2	90	860	2,721	1,216						
Del.	-	0	2	-	1	1	0	2	13	6	-	1	5	41	21						
D.C.	-	0	3	19	12	2	1	9	54	57	2	0	5	21	18						
Fla.	12	13	36	434	352	8	14	29	350	364	-	0	0	-	-						
Ga.	-	8	22	266	220	-	9	147	108	154	-	0	0	-	-						
Md.	-	0	0	-	-	-	5	19	153	157	-	0	0	-	-						
N.C.	N	0	0	N	N	-	6	17	146	119	-	0	0	-	-						
S.C.	-	0	0	-	-	-	1	7	36	30	-	17	50	691	322						
Va.	N	0	0	N	N	-	2	12	64	65	-	26	812	1,009	217						
W. Va.	-	1	14	79	78	-	0	1	1	2	-	25	70	959	638						
E.S. CENTRAL	-	3	13	118	119	-	11	20	286	232	-	0	70	31	1						
Ala.	N	0	0	N	N	-	3	12	116	87	-	0	70	31	1						
Ky.	-	0	5	23	21	-	1	8	32	19	N	0	0	N	N						
Miss.	-	0	0	-	1	-	0	5	27	28	-	0	0	-	-						
Tenn.	-	2	13	95	97	-	4	11	111	98	N	0	0	N	N						
W.S. CENTRAL	-	1	9	55	94	3	24	39	645	630	51	206	1,757	6,971	2,803						
Ark.	-	0	3	7	12	-	1	6	36	29	51	5	110	512	-						
La.	-	1	7	48	82	3	4	17	75	132	-	0	17	90	108						
Okla.	N	0	0	N	N	-	1	6	35	21	-	0	0	-	-						
Tex.	N	0	0	N	N	-	17	29	499	448	-	202	1,647	6,369	2,695						
MOUNTAIN	2	1	27	60	37	5	7	17	189	213	12	50	136	1,729	1,714						
Ariz.	N	0	0	N	N	5	3	13	94	71	-	0	0	-	-						
Colo.	N	0	0	N	N	-	1	3	20	23	9	33	76	939	1,165						
Idaho	N	0	0	N	N	-	0	1	2	18	-	0	0	-	-						
Mont.	-	0	1	-	-	-	0	1	1	5	-	0	0	-	-						
Nev.	-	0	27	4	2	-	1	12	43	61	-	0	2	4	-						
N. Mex.	-	0	1	1	-	-	1	5	27	28	-	3	32	238	148						
Utah	2	0	8	26	15	-	0	1	2	7	3	10	55	520	356						
Wyo.	-	0	3	29	20	-	0	0	-	-	-	0	8	28	45						
PACIFIC	-	0	0	-	-	3	32	49	682	901	-	0	0	-	-						
Alaska	-	0	0	-	-	-	0	4	5	4	-	0	0	-	-						
Calif.	N	0	0	N	N	3	27	42	564	814	-	0	0	-	-						
Hawaii	-	0	0	-	-	-	0	2	10	3	N	0	0	N	N						
Oreg.	N	0	0	N	N	-	0	6	9	16	N	0	0	N	N						
Wash.	N	0	0	N	N	-	2	11	94	64	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	3	-	2	12	-	369						
P.R.	N	0	0	N	N	-	3	16	54	110	4	7	47	145	418						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


