Va.	N	0	0	N	N	-	0	0	-	-	4	4	17	57	41						
W. Va.	1	1	17	16	39	-	0	1	5	-	-	0	2	1	1						
E.S. CENTRAL	1	2	7	49	77	-	0	3	9	13	7	14	29	191	148						
Ala.	N	0	0	N	N	-	0	0	-	-	3	5	17	64	76						
Ky.	-	0	2	10	19	-	0	1	1	3	1	1	9	24	11						
Miss.	-	0	0	-	-	-	0	0	-	-	-	1	8	30	17						
Tenn.	1	2	7	39	58	-	0	3	8	10	3	6	12	73	44						
W.S. CENTRAL	1	1	5	43	8	-	0	2	4	3	25	29	58	388	367						
Ark.	-	0	3	1	4	-	0	0	-	2	1	1	7	29	25						
La.	-	0	2	13	4	-	0	1	1	1	10	5	30	77	46						
Okla.	1	0	5	29	-	-	0	2	3	-	2	1	5	25	21						
Tex.	-	0	0	-	-	-	0	0	-	-	12	21	31	257	275						
MOUNTAIN	-	1	7	17	39	-	0	5	6	15	-	8	27	58	120						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	2	16	11	52						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	3	22						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	1	1	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
Nev.	-	0	3	11	8	-	0	2	3	-	-	1	12	19	28						
N. Mex.	-	0	0	-	-	-	0	0	-	-	-	1	5	19	15						
Utah	-	0	7	4	18	-	0	4	2	10	-	0	2	3	2						
Wyo.	-	0	3	2	13	-	0	2	1	5	-	0	1	1	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	11	37	52	357	540						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	2	3	5						
Calif.	N	0	0	N	N	-	0	0	-	-	-	34	45	316	462						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	1	1	8						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	6	4	5						
Wash.	N	0	0	N	N	-	0	0	-	-	11	2	11	33	60						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	N	-	-	N	N	-	-	-	-	-	-	-	-	-	-						
P.R.	N	0	0	N	N	-	0	0	-	-	-	2	11	27	38						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


