
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 21, 2009 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	52	56	100	783	910	8	8	22	108	109	95	249	379	2,260	2,503						
Ohio	10	7	18	110	123	2	1	4	17	14	-	6	19	61	72						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	10	14						
W.N. CENTRAL	1	2	8	22	73	-	0	2	6	3	-	7	14	53	94						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	3	3						
Kans.	-	1	4	6	33	-	0	1	4	1	-	0	3	3	6						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	12	25						
Mo.	1	1	4	16	39	-	0	1	2	1	-	4	10	33	58						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	2						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	1	-	0	1	-	1	-	0	1	-	-						
S. ATLANTIC	34	22	51	451	384	4	4	14	64	54	22	58	197	515	416						
Del.	1	0	1	5	-	-	0	0	-	-	-	0	4	7	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	2	9	26	26						
Fla.	27	14	36	290	203	3	3	13	46	26	10	20	37	209	167						
Ga.	6	7	23	127	148	1	1	5	18	23	-	13	169	44	34						
Md.	-	0	2	2	2	-	0	0	-	1	2	8	16	62	60						
N.C.	N	0	0	N	N	N	0	0	N	N	10	6	19	104	56						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	10	18						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	52	54						
W. Va.	-	1	7	27	31	-	0	2	-	4	-	0	1	1	-						
E.S. CENTRAL	6	5	22	81	105	1	1	4	8	13	8	21	36	233	228						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	76	108						
Ky.	5	1	6	27	21	-	0	2	3	4	1	1	10	13	14						
Miss.	-	0	2	-	-	-	0	1	-	-	-	3	18	38	21						
Tenn.	1	3	20	54	84	1	0	3	5	9	7	8	19	106	85						
W.S. CENTRAL	-	2	7	23	32	-	0	1	4	6	10	43	76	407	426						
Ark.	-	0	4	11	5	-	0	1	1	2	7	3	35	60	17						
La.	-	1	6	12	27	-	0	1	3	4	-	10	33	36	93						
Okla.	N	0	0	N	N	N	0	0	N	N	3	1	7	13	20						
Tex.	-	0	0	-	-	-	0	0	-	-	-	27	41	298	296						
MOUNTAIN	-	2	7	29	31	-	0	3	4	4	2	9	18	36	125						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	2	66						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	3	24						
Idaho	N	0	1	N	N	N	0	1	N	N	1	0	2	2	1						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	-	1	3	13	11	-	0	1	2	1	1	1	7	20	21						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	9	5						
Utah	-	1	6	12	20	-	0	3	2	3	-	0	2	-	8						
Wyo.	-	0	2	4	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	5	46	71	386	540						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	3	42	65	350	484						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	10	8						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	0	3	7	4						
Wash.	N	0	0	N	N	N	0	0	N	N	2	2	9	19	44						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	2	3	11	40	22						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


