
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 28, 2009 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	74	54	101	551	631	14	8	22	69	69	110	243	338	1,603	1,923						
Ky.	2	1	6	18	13	N	0	2	N	N	-	1	10	10	10						
Miss.	-	0	2	-	-	-	0	1	-	-	4	3	18	26	13						
Tenn.	14	3	20	53	57	1	0	3	4	3	12	8	19	75	60						
W.S. CENTRAL	2	2	7	16	22	-	0	1	2	5	2	44	76	275	286						
Ark.	2	0	4	10	2	-	0	1	1	1	1	3	35	36	8						
La.	-	1	6	6	20	-	0	1	1	4	-	10	33	32	67						
Okla.	N	0	0	N	N	-	0	0	-	-	1	1	7	10	19						
Tex.	-	0	0	-	-	-	0	0	-	-	-	27	46	197	192						
MOUNTAIN	2	2	11	16	21	-	0	4	2	4	4	8	25	23	87						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	2	43						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	2	20						
Idaho	N	0	1	N	N	-	0	1	-	-	-	0	2	1	-						
Mont.	-	0	1	-	-	N	0	0	N	N	-	0	7	-	-						
Nev.	2	1	3	11	8	-	0	1	1	1	4	1	7	16	18						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	2	6						
Utah	-	1	10	1	13	-	0	4	1	3	-	0	18	-	-						
Wyo.	-	0	2	4	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	6	44	72	242	392						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	3	41	66	219	347						
Hawaii	-	0	1	2	1	-	0	1	-	1	1	0	3	7	6						
Oreg.	N	0	0	N	N	N	0	0	N	N	2	0	3	6	3						
Wash.	N	0	0	N	N	N	0	0	N	N	-	2	9	10	36						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	N	0	0	N	N	7	3	11	26	14						
V.I.	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


