
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 18, 2013 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012

tab delimited data:
test
UNITED STATES	5	7	69	43	146	5	24	114	49	519	-	2	23	6	47						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	1	13	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	2	-	3	-	3	42	-	114	-	0	2	-	4						
Mo.	2	1	20	3	28	-	0	6	-	3	-	0	3	-	3						
Nebr.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	-	3	32	15	37	-	1	7	10	7	-	0	2	-	3						
Del.	-	0	2	1	3	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	2	8	-	0	2	1	-	-	0	0	-	-						
Ga.	-	0	4	7	5	-	0	1	2	3	-	0	1	-	1						
Md.	-	0	4	-	4	-	0	2	1	-	-	0	0	-	-						
N.C.	-	0	19	1	9	-	0	6	1	1	-	0	0	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Va.	-	1	15	4	8	-	0	2	4	3	-	0	2	-	2						
W. Va.	-	0	0	-	-	-	0	1	1	-	-	0	1	-	-						
E.S. CENTRAL	2	1	9	7	8	-	0	3	1	7	-	0	1	-	5						
Ala.	-	0	1	1	1	-	0	3	-	2	-	0	1	-	3						
Ky.	-	0	4	1	2	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	0	-	1	-	0	0	-	-						
Tenn.	2	1	6	5	5	-	0	2	1	4	-	0	1	-	2						
W.S. CENTRAL	-	0	16	6	17	-	0	2	-	2	-	0	1	-	-						
Ark.	-	0	10	6	15	-	0	1	-	1	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	14	-	-	-	0	2	-	-	-	0	0	-	-						
Tex.	-	0	1	-	1	-	0	0	-	1	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	-	1						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	-	0	1	-	1						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	1						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	-	-	N	N	N	-	-	N	N	N	-	-	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


