Minn.	-	0	4	-	43	-	0	0	-	-	-	0	2	-	-						
Mo.	1	5	18	156	1,414	-	0	4	17	8	1	4	30	264	216						
Nebr.	2	0	10	11	27	-	0	3	5	3	-	0	1	2	2						
N. Dak.	-	0	0	-	-	-	0	1	2	-	-	0	0	-	1						
S. Dak.	-	0	2	4	7	-	0	0	-	-	-	0	1	1	-						
S. ATLANTIC	60	68	133	2,631	1,699	-	1	8	66	68	7	6	55	363	368						
Del.	-	0	1	3	36	-	0	1	1	1	-	0	4	16	17						
D.C.	2	0	2	12	27	-	0	1	1	-	-	0	1	1	-						
Fla.	41	42	98	1,890	722	-	0	1	3	2	-	0	2	8	7						
Ga.	10	11	26	390	545	-	0	5	36	49	-	0	0	-	-						
Md.	2	2	7	71	97	-	0	1	2	-	2	0	3	21	35						
N.C.	3	4	36	154	111	-	0	4	12	12	2	1	49	201	192						
S.C.	-	1	4	36	51	-	0	2	9	1	-	0	2	16	12						
Va.	2	2	8	71	101	-	0	1	2	3	3	2	9	97	105						
W. Va.	-	0	66	4	9	-	0	0	-	-	-	0	1	3	-						
E.S. CENTRAL	5	13	29	408	518	-	0	3	6	17	2	5	26	286	334						
Ala.	5	4	15	144	117	-	0	1	2	4	1	1	8	54	66						
Ky.	-	1	6	36	190	-	0	1	1	6	-	0	0	-	-						
Miss.	-	2	9	107	38	-	0	0	-	1	-	0	4	9	17						
Tenn.	-	4	14	121	173	-	0	2	3	6	1	4	20	223	251						
W.S. CENTRAL	30	60	503	1,752	1,804	-	0	8	4	4	-	1	235	218	101						
Ark.	1	2	7	49	41	-	0	2	3	-	-	0	38	190	61						
La.	-	5	20	166	196	-	0	0	-	-	-	0	2	4	2						
Okla.	4	2	161	71	210	-	0	5	1	3	-	0	202	21	21						
Tex.	25	49	338	1,466	1,357	-	0	1	-	1	-	0	5	3	17						
MOUNTAIN	6	16	32	525	553	1	0	5	13	2	-	0	6	28	11						
Ariz.	6	6	19	187	297	-	0	4	12	-	-	0	6	15	1						
Colo.	-	2	8	71	69	-	0	1	-	-	-	0	1	2	1						
Idaho	-	0	3	15	20	1	0	0	1	-	-	0	1	1	4						
Mont.	-	1	15	116	7	-	0	0	-	2	-	0	1	1	1						
Nev.	-	0	6	19	28	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	3	9	78	99	-	0	0	-	-	-	0	1	1	1						
Utah	-	1	4	37	33	-	0	0	-	-	-	0	1	1	3						
Wyo.	-	0	1	2	-	-	0	0	-	-	-	0	2	7	-						
PACIFIC	26	16	63	523	781	-	0	2	-	4	-	0	0	-	1						
Alaska	-	0	2	5	1	N	0	0	N	N	N	0	0	N	N						
Calif.	19	12	59	388	620	-	0	2	-	4	-	0	0	-	-						
Hawaii	-	1	3	41	38	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	30	42	-	0	0	-	-	-	0	0	-	1						
Wash.	7	1	7	59	80	-	0	1	-	-	-	0	0	-	-						
Amer. Samoa	-	1	1	1	2	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	1	5	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	4	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


