Miss.	-	0	2	2	4	-	2	12	18	49	-	0	2	-	2						
Tenn.	1	0	2	5	8	-	4	10	78	59	-	0	6	29	34						
W.S. CENTRAL	1	1	9	35	35	11	70	754	932	744	-	0	17	10	15						
Ark.	-	0	2	3	5	-	5	30	30	97	-	0	10	6	11						
La.	-	0	3	7	9	-	1	10	8	65	-	0	0	-	-						
Okla.	-	0	7	12	2	-	0	41	5	9	-	0	15	4	4						
Tex.	1	1	7	13	19	11	62	681	889	573	-	0	0	-	-						
MOUNTAIN	-	1	4	24	35	8	17	41	267	392	-	2	8	15	39						
Ariz.	-	0	2	7	7	-	6	12	108	71	N	0	5	N	N						
Colo.	-	0	3	6	11	4	3	13	42	101	-	0	0	-	-						
Idaho	-	0	1	3	3	2	1	19	54	37	-	0	2	1	-						
Mont.	-	0	2	1	3	1	1	6	6	10	-	0	4	-	11						
Nev.	-	0	1	4	3	1	0	6	2	6	-	0	1	-	-						
N. Mex.	-	0	1	2	3	-	1	6	27	30	-	0	3	4	14						
Utah	-	0	1	1	1	-	2	6	27	123	-	0	2	-	1						
Wyo.	-	0	1	-	4	-	0	3	1	14	-	0	3	10	13						
PACIFIC	6	3	16	68	88	16	26	186	187	338	1	4	12	52	80						
Alaska	-	0	2	-	3	-	0	4	11	26	-	0	2	11	14						
Calif.	2	2	13	48	54	5	12	162	27	121	1	3	11	37	66						
Hawaii	-	0	1	-	3	-	0	3	-	11	-	0	0	-	-						
Oreg.	-	0	5	12	19	4	5	12	98	81	-	0	2	4	-						
Wash.	4	0	7	8	9	7	5	24	51	99	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	1	-	-	-	0	0	-	1	-	1	3	19	18						
V.I.	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


