
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending August 9, 2008 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	93	147	849	4,314	5,828	50	80	187	2,339	3,669	38	29	195	924	1,167						
E.S. CENTRAL	3	6	31	152	270	2	2	7	77	103	4	4	19	151	175						
Ala.	-	1	6	21	56	-	0	0	-	-	-	1	10	39	50						
Ky.	-	1	5	31	14	2	0	4	27	14	-	0	1	1	4						
Miss.	-	2	25	60	137	-	0	1	2	-	-	0	3	4	11						
Tenn.	3	1	4	40	63	-	1	6	48	89	4	2	17	107	110						
W.S. CENTRAL	7	19	198	629	669	1	6	40	68	674	15	2	153	138	84						
Ark.	-	1	11	40	133	1	1	6	42	23	14	0	15	30	27						
La.	-	0	3	9	14	-	0	2	-	4	-	0	1	2	4						
Okla.	-	0	26	19	4	-	0	32	25	45	-	0	132	86	34						
Tex.	7	17	179	561	518	-	0	34	1	602	1	1	8	20	19						
MOUNTAIN	11	19	37	512	685	-	1	8	38	42	1	0	2	17	25						
Ariz.	3	3	10	127	155	N	0	0	N	N	1	0	2	7	5						
Colo.	5	4	13	95	186	-	0	0	-	-	-	0	2	1	1						
Idaho	-	0	4	20	31	-	0	4	-	-	-	0	1	1	3						
Mont.	3	1	11	64	34	-	0	3	4	13	-	0	1	3	1						
Nev.	-	0	7	21	29	-	0	2	3	7	-	0	0	-	-						
N. Mex.	-	1	5	28	53	-	0	3	21	8	-	0	1	2	4						
Utah	-	6	27	150	180	-	0	2	2	6	-	0	0	-	-						
Wyo.	-	0	2	7	17	-	0	4	8	8	-	0	2	3	11						
PACIFIC	22	21	303	597	494	5	4	12	113	144	-	0	1	4	3						
Alaska	6	1	29	75	36	-	0	4	12	36	N	0	0	N	N						
Calif.	-	8	129	233	282	3	3	12	96	102	-	0	1	2	1						
Hawaii	-	0	2	5	17	-	0	0	-	-	N	0	0	N	N						
Oreg.	3	3	14	100	59	2	0	1	5	6	-	0	1	2	2						
Wash.	13	5	169	184	100	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	2	1	5	40	34	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


