
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2007 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	8,574	19,843	25,557	368,532	405,901	108	153	658	3,228	3,520	32	71	321	966	1,068						
N. Dak.	-	28	64	446	757	N	0	0	N	N	-	0	1	1	1						
S. Dak.	57	49	84	1,001	1,064	N	0	0	N	N	-	1	7	24	17						
S. ATLANTIC	1,399	3,566	7,072	56,080	77,421	-	0	1	1	2	13	18	71	246	241						
Del.	24	69	111	1,354	1,442	N	0	0	N	N	-	0	3	2	-						
D.C.	97	79	161	2,219	1,221	-	0	0	-	-	-	0	2	3	7						
Fla.	-	921	1,187	3,300	19,068	N	0	0	N	N	12	8	32	127	98						
Ga.	-	675	3,822	7,608	13,694	N	0	0	N	N	-	4	18	45	70						
Md.	-	392	669	6,594	8,201	-	0	1	1	2	-	0	2	11	6						
N.C.	479	634	1,207	12,643	14,575	-	0	0	-	-	1	1	11	25	29						
S.C.	353	425	2,105	11,106	8,620	N	0	0	N	N	-	1	14	14	12						
Va.	432	495	685	10,187	9,393	N	0	0	N	N	-	1	5	16	17						
W. Va.	14	55	85	1,069	1,207	N	0	0	N	N	-	0	3	3	2						
E.S. CENTRAL	765	1,409	2,044	25,713	30,823	-	0	0	-	-	-	3	14	47	40						
Ala.	70	368	539	2,079	9,833	N	0	0	N	N	-	0	11	17	14						
Ky.	174	130	691	3,118	3,810	N	0	0	N	N	-	1	3	15	10						
Miss.	-	422	959	8,916	6,998	N	0	0	N	N	-	0	8	8	5						
Tenn.	521	531	700	11,600	10,182	N	0	0	N	N	-	1	5	7	11						
W.S. CENTRAL	1,627	2,158	3,028	43,866	45,844	-	0	1	-	-	3	5	45	36	46						
Ark.	171	161	337	3,324	3,230	N	0	0	N	N	-	0	3	2	6						
La.	-	315	610	5,225	6,888	-	0	1	-	-	-	1	9	14	-						
Okla.	260	257	472	5,190	4,749	N	0	0	N	N	3	0	9	15	12						
Tex.	1,196	1,457	1,911	30,127	30,977	N	0	0	N	N	-	2	36	5	28						
MOUNTAIN	198	1,334	2,025	20,832	26,307	48	100	293	2,173	2,496	3	4	40	66	41						
Ariz.	8	463	993	6,497	7,989	48	99	293	2,125	2,426	-	0	5	13	4						
Colo.	112	306	416	3,730	6,408	N	0	0	N	N	1	1	7	21	9						
Idaho	-	44	253	1,263	1,329	N	0	0	N	N	-	0	5	4	4						
Mont.	-	52	144	945	901	N	0	0	N	N	-	0	26	4	6						
Nev.	67	167	397	3,439	3,027	-	1	3	17	31	1	0	3	4	3						
N. Mex.	-	166	324	2,591	4,048	-	0	3	7	8	-	1	6	11	9						
Utah	-	97	200	1,886	2,010	-	1	4	24	29	1	0	3	2	6						
Wyo.	11	27	45	481	595	-	0	0	-	2	-	0	11	7	-						
PACIFIC	2,087	3,362	4,362	68,538	69,070	58	53	311	1,038	1,006	-	1	5	27	30						
Alaska	72	88	157	1,730	1,672	N	0	0	N	N	-	0	1	-	1						
Calif.	1,565	2,656	3,627	53,759	53,745	58	53	311	1,038	1,006	-	0	0	-	-						
Hawaii	-	105	130	1,994	2,337	N	0	0	N	N	-	0	1	-	-						
Oreg.	133	161	394	3,818	3,915	N	0	0	N	N	-	1	5	27	29						
Wash.	317	344	621	7,237	7,401	N	0	0	N	N	-	0	0	-	-						
Amer. Samoa	U	0	21	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	44	-	-	-	-	-	-	-	-	-	-						
P.R.	229	122	234	3,041	1,999	N	0	0	N	N	N	0	0	N	N						
V.I.	U	3	10	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


