
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending August 23, 2008 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	74	145	849	4,628	6,354	65	83	187	2,540	4,028	89	29	195	1,203	1,320						
S.C.	-	2	22	69	56	-	0	0	-	46	1	0	4	21	41						
Va.	-	2	8	73	82	-	11	27	321	477	-	1	10	75	72						
W. Va.	-	0	12	4	12	1	1	11	63	46	-	0	3	3	2						
E.S. CENTRAL	1	7	25	177	315	1	2	7	79	109	6	4	21	181	198						
Ala.	-	1	6	24	59	-	0	0	-	-	-	1	10	45	64						
Ky.	1	1	8	50	15	1	0	4	29	15	-	0	1	1	4						
Miss.	-	2	22	61	177	-	0	1	2	-	-	0	3	4	12						
Tenn.	-	1	4	42	64	-	1	6	48	94	6	2	17	131	118						
W.S. CENTRAL	2	19	198	667	718	3	4	40	75	706	40	2	153	215	131						
Ark.	-	1	11	40	139	-	1	6	43	23	14	0	15	44	56						
La.	-	0	4	32	14	-	0	2	-	4	-	0	1	3	4						
Okla.	2	0	26	30	4	3	0	32	31	45	26	0	132	142	45						
Tex.	-	15	179	565	561	-	0	34	1	634	-	1	8	26	26						
MOUNTAIN	5	18	37	539	748	-	1	8	44	54	1	0	3	21	28						
Ariz.	-	3	10	130	165	N	0	0	N	N	-	0	2	8	6						
Colo.	5	4	13	102	203	-	0	0	-	-	-	0	2	1	1						
Idaho	-	0	4	20	35	-	0	4	-	4	-	0	1	1	4						
Mont.	-	1	11	66	34	-	0	2	6	14	-	0	1	3	1						
Nev.	-	0	7	22	33	-	0	2	3	9	1	0	0	1	-						
N. Mex.	-	1	5	29	56	-	0	3	21	8	-	0	1	2	4						
Utah	-	6	27	161	203	-	0	2	3	9	-	0	0	-	-						
Wyo.	-	0	2	9	19	-	0	4	11	10	-	0	2	5	12						
PACIFIC	25	21	303	640	564	2	4	12	118	162	1	0	1	4	3						
Alaska	7	1	29	95	40	-	0	4	12	37	N	0	0	N	N						
Calif.	-	8	129	233	308	1	3	12	100	118	-	0	1	1	1						
Hawaii	-	0	2	6	17	-	0	0	-	-	N	0	0	N	N						
Oreg.	6	3	14	110	63	1	0	1	6	7	1	0	1	3	2						
Wash.	12	5	169	196	136	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	2	1	5	43	37	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


