
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2007 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	36	242	1,003	291	303	8	23	39	35	90	11	20	45	52	101						
Ga.	-	0	1	-	1	1	1	6	3	8	-	0	3	2	1						
Md.	14	16	81	63	41	1	1	5	5	6	-	0	2	2	3						
N.C.	-	0	4	-	5	1	0	4	2	3	-	0	11	-	-						
S.C.	-	0	2	-	-	-	0	2	-	-	-	0	2	2	-						
Va.	1	4	31	4	-	1	1	4	2	5	-	0	4	-	2						
W. Va.	-	0	8	-	-	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	0	3	-	-	-	0	3	1	1	-	1	3	2	1						
Ala.	-	0	3	-	-	-	0	2	-	1	-	0	2	-	-						
Ky.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	1						
Miss.	-	0	1	-	-	-	0	1	1	-	-	0	2	2	-						
Tenn.	-	0	2	-	-	-	0	2	-	-	-	0	2	-	-						
W.S. CENTRAL	1	0	5	1	-	-	1	7	-	3	-	1	4	2	1						
Ark.	-	0	0	-	-	-	0	2	-	-	-	0	1	-	1						
La.	-	0	0	-	-	-	0	1	-	-	-	0	2	1	-						
Okla.	-	0	0	-	-	-	0	2	-	1	-	0	3	-	-						
Tex.	1	0	5	1	-	-	1	6	-	2	-	0	3	1	-						
MOUNTAIN	-	0	3	1	-	-	1	6	-	3	-	1	5	1	10						
Ariz.	-	0	2	-	-	-	0	3	-	1	-	0	3	-	2						
Colo.	-	0	1	-	-	-	0	2	-	1	-	0	2	-	6						
Idaho	-	0	2	-	-	-	0	1	-	-	-	0	1	1	-						
Mont.	-	0	1	1	-	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
N. Mex.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Utah	-	0	1	-	-	-	0	2	-	1	-	0	1	-	2						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	2	3	13	6	5	-	4	13	3	18	5	5	16	13	38						
Alaska	-	0	1	-	-	-	0	4	-	2	-	0	1	-	1						
Calif.	2	2	13	6	5	-	3	6	-	15	5	3	10	10	20						
Hawaii	N	0	0	N	N	-	0	2	-	-	-	0	2	1	-						
Oreg.	-	0	2	-	-	-	0	3	3	1	-	0	4	1	13						
Wash.	-	0	1	-	-	-	0	4	-	-	-	0	5	1	4						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


