
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2012 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	9	11	95	292	344	17	23	169	268	1,442	-	2	9	53	83						
S. Dak.	-	0	0	-	1	-	0	1	-	2	-	0	0	-	-						
S. ATLANTIC	6	4	35	102	100	1	1	6	17	24	-	0	2	6	3						
Del.	-	0	2	7	12	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	2	11	11	-	0	2	2	4	-	0	0	-	-						
Ga.	-	0	2	7	13	-	0	1	2	8	-	0	1	1	2						
Md.	-	0	4	14	17	-	0	2	-	2	-	0	1	1	-						
N.C.	-	0	18	12	14	-	0	6	3	6	-	0	1	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Va.	6	1	13	51	33	1	0	3	9	3	-	0	2	4	1						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	2	1	7	39	42	-	0	2	10	8	-	0	3	6	2						
Ala.	-	0	2	5	-	-	0	1	4	3	-	0	1	3	-						
Ky.	-	0	2	3	10	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	1	-	3	-	0	1	-	-	-	0	1	1	-						
Tenn.	2	0	5	31	29	-	0	1	6	5	-	0	3	2	2						
W.S. CENTRAL	1	1	52	47	14	-	0	11	5	-	-	0	1	-	-						
Ark.	1	0	13	29	10	-	0	3	2	-	-	0	0	-	-						
La.	-	0	1	1	-	-	0	1	-	-	-	0	1	-	-						
Okla.	-	0	51	15	3	-	0	7	2	-	-	0	0	-	-						
Tex.	-	0	1	2	1	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	3						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	3						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	2	-	3	-	0	0	-	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	2	-	3	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


