
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 9, 2013 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	13,520	26,780	30,358	228,341	271,265	23	244	546	342	3,845	39	129	281	715	1,053						
Nev.	183	212	325	1,751	1,733	1	1	7	9	26	1	0	2	2	2						
N. Mex.	229	225	463	2,987	2,505	-	0	3	2	10	-	1	5	3	22						
Utah	24	149	179	1,072	1,620	-	1	4	5	12	1	2	22	15	13						
Wyo.	7	33	63	155	354	-	0	1	1	2	-	0	4	2	5						
PACIFIC	1,811	4,197	4,937	36,133	43,046	22	69	99	267	1,135	5	12	26	72	78						
Alaska	-	105	150	961	1,148	N	0	0	N	N	-	0	1	-	-						
Calif.	1,129	3,227	4,111	28,430	33,228	22	69	99	267	1,134	3	6	14	44	39						
Hawaii	-	118	148	627	1,185	N	0	0	N	N	-	0	1	-	2						
Oreg.	289	260	368	2,605	2,830	-	0	1	-	1	-	4	11	20	31						
Wash.	393	463	632	3,510	4,655	-	0	0	-	-	2	1	21	8	6						
Amer. Samoa	-	12	59	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	99	108	307	1,113	1,371	N	0	0	N	N	N	0	0	N	N						
V.I.	-	14	29	-	134	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


