
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 21, 2012 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	99	242	350	358	466	-	3	15	4	6	4	27	140	15	12						
Wis.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	3	5	18	9	40	-	0	4	-	-	-	4	29	2	1						
Iowa	-	0	3	-	2	-	0	0	-	-	-	0	2	-	-						
Kans.	-	1	5	-	9	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	3	3	14	8	27	-	0	3	-	-	-	4	29	2	1						
Nebr.	-	0	2	1	1	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	1	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	28	73	134	88	137	-	1	8	-	2	3	6	56	10	2						
Del.	-	0	2	-	-	-	0	1	-	-	-	0	4	1	-						
D.C.	-	0	5	-	3	-	0	1	-	-	-	0	1	-	-						
Fla.	20	50	98	66	93	-	0	1	-	1	-	0	2	3	-						
Ga.	2	10	24	13	17	-	1	7	-	-	-	0	0	-	-						
Md.	2	1	7	4	3	-	0	1	-	1	-	0	2	-	-						
N.C.	4	3	19	4	13	-	0	4	-	-	3	0	49	3	1						
S.C.	-	1	54	1	4	-	0	2	-	-	-	0	2	-	-						
Va.	-	2	7	-	4	-	0	1	-	-	-	4	14	3	1						
W. Va.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	12	17	51	48	31	-	0	2	-	-	1	4	25	2	2						
Ala.	-	5	21	12	14	-	0	1	-	-	1	1	8	1	1						
Ky.	11	4	22	30	1	-	0	1	-	-	-	0	2	-	-						
Miss.	-	4	24	4	5	-	0	0	-	-	-	0	2	-	-						
Tenn.	1	4	11	2	11	-	0	2	-	-	-	4	20	1	1						
W.S. CENTRAL	18	54	114	39	60	-	0	3	-	-	-	2	51	-	-						
Ark.	1	2	7	1	2	-	0	3	-	-	-	1	51	-	-						
La.	-	4	21	-	14	-	0	0	-	-	-	0	2	-	-						
Okla.	9	3	28	14	4	-	0	1	-	-	-	0	25	-	-						
Tex.	8	43	98	24	40	-	0	1	-	-	-	0	4	-	-						
MOUNTAIN	2	14	42	13	47	-	0	3	1	4	-	1	7	-	4						
Ariz.	2	5	27	8	21	-	0	3	-	4	-	0	6	-	4						
Colo.	-	1	8	1	9	-	0	0	-	-	-	0	1	-	-						
Idaho	-	0	3	-	2	-	0	1	1	-	-	0	1	-	-						
Mont.	-	1	15	1	1	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	4	1	1	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	2	7	1	10	-	0	0	-	-	-	0	0	-	-						
Utah	-	1	4	1	3	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	11	19	44	29	64	-	0	2	1	-	-	0	1	-	-						
Alaska	-	0	2	2	-	N	0	0	N	N	N	0	0	N	N						
Calif.	10	15	41	26	59	-	0	2	1	-	-	0	1	-	-						
Hawaii	-	1	3	-	2	N	0	0	N	N	N	0	0	N	N						
Oreg.	1	0	4	1	3	-	0	0	-	-	-	0	0	-	-						
Wash.	-	1	9	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


