
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending November 24, 2007 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	49	171	1,479	7,809	12,834	14	100	187	5,015	5,158	2	32	211	1,835	1,996						
D.C.	-	0	1	2	6	-	0	0	-	-	-	0	1	1	1						
Fla.	-	4	18	198	194	-	0	29	109	176	-	0	4	21	15						
Ga.	-	0	4	27	95	4	3	34	250	251	-	0	5	35	52						
Md.	1	2	8	109	135	-	7	18	327	390	-	1	7	64	78						
N.C.	-	4	112	288	177	5	9	19	452	490	-	4	96	563	815						
S.C.	-	2	8	67	174	-	0	11	46	164	-	1	7	60	38						
Va.	2	2	11	113	190	-	13	31	646	574	-	2	11	124	101						
W. Va.	-	0	19	30	43	-	0	11	76	105	-	0	3	5	3						
E.S. CENTRAL	-	6	32	384	329	-	3	9	140	233	1	4	16	242	358						
Ala.	-	1	18	79	84	-	0	2	-	79	1	1	9	83	85						
Ky.	-	0	4	22	57	-	0	3	18	28	-	0	2	5	3						
Miss.	-	1	29	209	35	-	0	1	1	4	-	0	2	14	9						
Tenn.	-	1	7	74	153	-	2	7	121	122	-	2	10	140	261						
W.S. CENTRAL	17	19	226	868	805	2	1	23	76	925	1	1	168	177	115						
Ark.	-	1	17	133	90	2	0	2	31	31	-	0	53	92	51						
La.	-	0	1	15	24	-	0	1	-	6	-	0	1	2	5						
Okla.	15	0	36	21	19	-	0	22	45	60	1	0	108	48	29						
Tex.	2	16	174	699	672	-	0	14	-	828	-	1	7	35	30						
MOUNTAIN	12	21	61	1,023	2,344	1	3	14	210	210	-	0	4	33	46						
Ariz.	-	4	13	188	484	-	2	12	145	137	-	0	1	7	11						
Colo.	6	6	14	277	685	-	0	0	-	-	-	0	2	4	4						
Idaho	4	0	5	38	85	-	0	0	-	24	-	0	1	4	14						
Mont.	2	0	7	40	114	1	0	3	19	15	-	0	1	1	2						
Nev.	-	0	5	12	71	-	0	1	2	5	-	0	0	-	-						
N. Mex.	-	1	7	66	130	-	0	2	10	10	-	0	1	4	8						
Utah	-	7	47	380	700	-	0	2	16	11	-	0	1	1	-						
Wyo.	-	0	4	22	75	-	0	4	18	8	-	0	2	12	7						
PACIFIC	5	11	547	586	1,744	1	4	10	206	235	-	0	3	8	2						
Alaska	-	0	8	50	89	-	0	6	39	16	N	0	0	N	N						
Calif.	-	3	167	157	1,471	1	3	8	155	194	-	0	3	6	-						
Hawaii	-	0	1	4	85	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	2	14	110	99	-	0	3	12	25	-	0	1	2	2						
Wash.	5	3	377	265	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	0	1	-	63	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	3	-	0	5	37	75	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


