
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2007 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	64	245	977	2,017	4,466	43	96	174	1,054	1,644	13	30	114	160	327						
D.C.	-	0	2	2	3	-	0	0	-	-	1	0	1	1	-						
Fla.	2	4	18	93	75	-	0	18	41	176	2	0	4	5	6						
Ga.	-	0	3	-	8	-	4	16	36	76	-	0	5	2	4						
Md.	-	2	7	42	63	7	5	12	93	122	1	1	6	14	6						
N.C.	12	0	112	91	70	8	11	21	149	108	1	4	61	46	228						
S.C.	-	3	11	27	49	-	3	11	35	39	-	1	5	6	3						
Va.	-	2	19	33	53	12	12	31	224	196	-	2	12	8	6						
W. Va.	2	0	19	6	4	-	2	8	24	25	-	0	2	1	-						
E.S. CENTRAL	-	6	24	70	85	1	4	13	28	63	5	5	27	30	24						
Ala.	-	1	17	21	21	-	1	8	-	19	-	1	9	6	6						
Ky.	-	0	5	1	14	1	0	4	7	4	-	0	1	-	-						
Miss.	-	0	7	7	10	-	0	1	-	3	-	0	1	-	-						
Tenn.	-	3	11	41	40	-	2	7	21	37	5	4	22	24	18						
W.S. CENTRAL	1	16	147	92	195	2	2	34	27	249	-	1	28	-	5						
Ark.	-	1	13	2	17	1	0	5	9	9	-	0	10	-	4						
La.	-	0	2	5	5	-	0	0	-	-	-	0	1	-	-						
Okla.	1	0	9	1	2	1	0	9	18	11	-	0	18	-	-						
Tex.	-	14	134	84	171	-	0	29	-	229	-	0	6	-	1						
MOUNTAIN	10	36	75	399	1,072	-	3	28	25	42	-	0	5	1	6						
Ariz.	2	6	30	95	205	-	2	10	24	37	-	0	2	-	2						
Colo.	-	8	20	102	417	-	0	0	-	-	-	0	1	-	1						
Idaho	3	1	7	15	27	-	0	24	-	-	-	0	3	1	-						
Mont.	-	1	8	15	42	-	0	2	-	3	-	0	2	-	-						
Nev.	-	0	9	3	20	-	0	1	-	-	-	0	0	-	-						
N. Mex.	-	2	8	13	29	-	0	2	-	2	-	0	2	-	2						
Utah	5	10	50	144	306	-	0	1	1	-	-	0	0	-	-						
Wyo.	-	1	8	12	26	-	0	2	-	-	-	0	1	-	1						
PACIFIC	3	33	229	87	553	3	4	12	57	52	-	0	1	-	1						
Alaska	-	1	8	8	28	1	0	6	26	11	N	0	0	N	N						
Calif.	-	22	226	-	311	2	3	11	31	40	-	0	1	-	-						
Hawaii	-	0	7	7	42	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	2	7	29	50	-	0	4	-	1	-	0	1	-	1						
Wash.	3	4	46	43	122	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	N	-	-	N	N						
P.R.	-	0	1	-	-	-	1	6	17	32	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


