
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 28, 2007 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	149	795	2,813	24,215	30,851	-	1	178	60	319	2	2	417	125	466						
Miss.	-	0	2	2	-	-	0	10	5	29	-	0	16	8	19						
Tenn.	N	0	0	N	N	-	0	5	-	1	-	0	2	-	-						
W.S. CENTRAL	76	181	1,640	7,322	8,188	-	0	59	5	132	-	0	27	2	49						
Ark.	42	12	105	476	592	-	0	5	1	8	-	0	2	-	2						
La.	-	2	11	89	178	-	0	13	-	21	-	0	10	-	17						
Okla.	-	0	0	-	-	-	0	6	-	8	-	0	4	-	2						
Tex.	34	163	1,534	6,757	7,418	-	0	39	4	95	-	0	16	2	28						
MOUNTAIN	5	56	131	1,819	1,836	-	0	63	5	65	-	1	245	34	231						
Ariz.	-	0	0	-	-	-	0	10	-	2	-	0	14	7	4						
Colo.	2	22	62	696	960	-	0	11	2	7	-	0	51	8	40						
Idaho	N	0	0	N	N	-	0	32	-	34	-	0	174	8	151						
Mont.	-	5	40	278	N	-	0	3	-	-	-	0	8	-	1						
Nev.	-	0	1	1	9	-	0	9	-	11	-	0	17	1	23						
N. Mex.	1	6	37	286	297	-	0	2	2	-	-	0	1	-	-						
Utah	2	15	73	540	538	-	0	8	1	11	-	0	17	1	9						
Wyo.	-	0	11	18	32	-	0	7	-	-	-	0	10	9	3						
PACIFIC	-	0	9	25	-	-	0	15	17	18	1	0	51	25	62						
Alaska	-	0	9	25	N	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	N	-	0	15	17	17	1	0	37	25	51						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	2	-	1	-	0	14	-	9						
Wash.	N	0	0	N	N	-	0	0	-	-	-	0	1	-	2						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	4	30	99	153	-	0	0	-	-	-	0	0	-	-						
P.R.	-	12	29	380	350	-	0	0	-	-	-	0	0	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


