
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 15, 2006 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	61	103	188	1,182	1,708	9	35	98	292	166	285	865	2,137	6,679	7,112						
W.N. CENTRAL	4	6	23	56	86	1	2	17	7	6	31	43	92	458	479						
Iowa	-	1	10	13	15	-	0	2	-	1	-	7	18	64	85						
Kans.	2	1	5	19	27	-	0	2	-	-	6	7	17	72	50						
Minn.	1	1	5	5	13	1	0	1	1	-	17	10	31	117	132						
Mo.	1	1	7	5	7	-	2	15	6	4	6	15	40	146	131						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	10	32	39						
N. Dak.	-	0	4	2	4	-	0	0	-	-	2	0	5	4	11						
S. Dak.	-	1	6	12	20	-	0	2	-	1	-	2	11	23	31						
S. ATLANTIC	19	35	57	466	713	8	17	94	269	113	91	257	507	1,834	1,824						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	13	15						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	19	13						
Fla.	-	0	16	47	201	1	0	3	7	7	61	99	230	819	722						
Ga.	-	4	27	43	80	-	1	9	15	7	4	34	70	280	257						
Md.	-	6	16	59	82	-	2	7	13	9	-	14	39	110	145						
N.C.	3	8	19	87	131	6	4	87	225	80	21	30	114	354	314						
S.C.	-	4	11	33	51	1	1	6	5	6	5	21	146	79	149						
Va.	16	10	26	175	162	-	1	10	2	2	-	20	66	142	187						
W. Va.	-	1	13	22	6	-	0	2	-	1	-	3	13	18	22						
E.S. CENTRAL	1	3	9	53	34	-	5	24	4	8	3	56	134	342	398						
Ala.	-	1	5	16	19	-	0	9	1	2	3	13	39	130	109						
Ky.	-	0	3	4	3	-	0	1	-	-	-	7	26	66	46						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	49	64						
Tenn.	1	1	4	33	12	-	3	18	3	6	-	14	40	97	179						
W.S. CENTRAL	16	13	34	201	317	-	2	34	4	3	38	84	889	761	534						
Ark.	3	0	3	7	10	-	0	32	3	-	8	16	67	230	70						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	66	139						
Okla.	-	1	7	13	30	-	0	23	-	2	1	6	26	54	59						
Tex.	13	12	33	181	277	-	0	8	1	-	29	45	849	411	266						
MOUNTAIN	5	4	16	29	69	-	0	7	1	19	20	50	111	478	467						
Ariz.	3	2	11	27	62	-	0	7	1	12	5	13	27	145	151						
Colo.	-	0	2	-	-	-	0	1	-	-	-	11	45	141	115						
Idaho	-	0	12	-	-	-	0	2	-	-	3	2	17	20	28						
Mont.	2	0	3	2	-	-	0	0	-	1	2	2	16	28	21						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	23	47						
N. Mex.	-	0	1	-	1	-	0	1	-	2	-	4	13	34	44						
Utah	-	0	5	-	-	-	0	1	-	3	7	6	31	69	51						
Wyo.	-	0	2	-	6	-	0	1	-	1	3	1	12	18	10						
PACIFIC	3	4	15	36	36	-	0	2	-	-	52	94	415	965	1,202						
Alaska	-	0	4	7	1	-	0	0	-	-	-	1	7	28	14						
Calif.	3	3	15	29	35	-	0	1	-	-	37	70	285	716	931						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	52	82						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	8	25	80	90						
Wash.	U	0	0	U	U	N	0	0	N	N	15	8	121	89	85						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
P.R.	-	2	4	28	26	N	0	0	N	N	-	7	23	15	95						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


