
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 30, 2007 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	137	786	2,813	22,796	29,628	-	1	178	3	41	-	1	417	3	44						
Idaho	N	0	0	N	N	-	0	32	-	1	-	0	174	-	6						
Mont.	-	4	40	256	N	-	0	3	-	-	-	0	8	-	-						
Nev.	-	0	1	1	9	-	0	9	-	-	-	0	17	-	2						
N. Mex.	-	5	39	267	295	-	0	1	-	-	-	0	1	-	-						
Utah	-	15	73	532	528	-	0	8	-	-	-	0	17	-	-						
Wyo.	-	0	11	16	31	-	0	7	-	-	-	0	10	-	1						
PACIFIC	-	0	9	24	-	-	0	15	-	1	-	0	51	-	7						
Alaska	-	0	9	24	N	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	N	-	0	15	-	1	-	0	37	-	6						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	2	-	-	-	0	14	-	1						
Wash.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	3	14	-	147	-	0	0	-	-	-	0	0	-	-						
P.R.	-	12	27	346	312	-	0	0	-	-	-	0	0	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


