
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending August 6, 2011 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	122	298	937	9,048	10,138	10	23	101	668	1,248	85	258	363	7,030	7,878						
Ariz.	4	11	45	560	581	-	1	5	41	76	3	4	9	104	131						
Colo.	2	11	23	364	347	-	1	4	26	46	-	2	8	67	76						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	2	5	2						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	3	3						
Nev.	N	0	0	N	N	N	0	0	N	N	-	3	9	82	57						
N. Mex.	1	3	13	163	113	-	0	2	11	14	-	1	4	35	29						
Utah	-	3	8	74	134	-	0	3	12	24	-	0	4	5	48						
Wyo.	-	0	15	19	10	-	0	1	-	2	-	0	0	-	-						
PACIFIC	-	3	11	106	71	-	0	2	9	16	12	51	66	1,436	1,404						
Alaska	-	2	11	105	71	-	0	2	9	16	-	0	1	1	3						
Calif.	N	0	0	N	N	N	0	0	N	N	8	41	57	1,193	1,195						
Hawaii	-	0	3	1	-	-	0	0	-	-	-	0	5	8	24						
Oreg.	N	0	0	N	N	N	0	0	N	N	2	1	7	55	34						
Wash.	N	0	0	N	N	N	0	0	N	N	2	5	13	179	148						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	4	13	139	134						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


