Listeriosis	6	9	16	739	884	896	753	696	NY (1 ), PA (2 ), OH (2 ), NE (1 )	
Measles ***	-	-	1	31	55	66	37	56		
Meningococcal disease, invasive ††† :										
A,C,Y, and W-135	-	-	8	266	318	297	-	-		
serogroup B	-	-	5	131	193	156	-	-		
other serogroup	-	-	1	31	32	27	-	-		
unknown serogroup	-	-	23	566	651	765	-	-		
Mumps	2	6	12	731	6,584	314	258	231	PA (1 ), MD (1 )	
Novel influenza A infection virus	-	-	-	4	N	N	N	N		
Plague	-	-	0	6	17	8	3	1		
Poliomyelitis, paralytic	-	-	-	-	-	1	-	-		
Poliovirus infection, nonparalytic §	-	-	-	-	N	N	N	N		
Psittacosis §	-	-	0	11	21	16	12	12		
Q fever §,§§§:										
acute	-	-	-	-	-	-	-	-		
chronic	-	-	-	-	-	-	-	-		
Rabies, human	-	-	0	-	3	2	7	2		
Rubella ¶¶¶	-	-	0	11	11	11	10	7		
Rubella, congenital syndrome	-	-	-	-	1	1	-	1		
SARS CoV §, ****	-	-	-	-	-	-	-	8		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	-	-	3	102	125	129	132	161		
Syphilis, congenital (age &lt;1 yr)	5	6	9	535	349	329	353	413	FL (2 ), LA (1 ), TX (1 ), OR (1 )	
Tetanus	-	-	1	20	41	27	34	20		
Toxic-shock syndrome (staphylococcal) §	-	1	2	81	101	90	95	133		
Trichinellosis	-	1	0	6	15	16	5	6		
Tularemia	-	-	2	113	95	154	134	129		
Typhoid fever	4	4	7	324	353	324	322	356	FL (1 ), TX (1 ), CA (2 )	
Vancomycin-intermediate Staphylococcus aureus §	-	-	0	23	6	2	-	N		
Vancomycin-resistant Staphylococcus aureus §	-	-	0	-	1	3	1	N		
Vibriosis (non-cholera Vibrio species infections) §	-	1	3	356	N	N	N	N		
Yellow fever	-	-	-	-	-	-	-	-		

-: No reported cases
N: Not notifiable
Cum: Cumulative year-to-date counts.

* Incidence data for reporting years 2007 and 2008 are provisional, whereas data for 
2003, 2004, 2005, and 2006 are finalized.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatic mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and non-neuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for 
West Nile virus are available in Table II.

** The names of the reporting categories changed in 2008 as a result of revisions to the case definitions. Cases 
reported prior to 2008 were reported in the categories: Ehrlichiosis, human monocytic (analogous to E. chaffeensis); 
Ehrlichiosis, human granulocytic (analogous to Anaplasma phagocytophilum), and Ehrlichiosis, unspecified, or other agent 
(which included cases unable to be clearly placed in other categories, as well as possible cases of E. ewingii). 

†† Data for H. influenzae (all ages, all serotypes) are available in Table II.

§§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV/AIDS, 
Viral Hepatitis, STD, and TB Prevention. Implementation of HIV reporting influences the 
number of cases reported. Updates of pediatric HIV data have been temporarily suspended until upgrading 
of the national HIV/ AIDS surveillance data management system is completed. Data for HIV/AIDS usually are 
available quarterly in Table IV.

¶¶ Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory 
Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition.

*** Please refer to the MMWR publication for weekly updates to the footnote for this condition.

††† Data for meningococcal disease (all serogroups) are available in Table II.

§§§ In 2008, Q fever acute and chronic reporting categories were recognized as a result of revisions 
to the Q fever case definition. Prior to that time, case counts were not differentiated with respect 
to acute and chronic Q fever cases.

¶¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition.

**** Updated weekly from reports to the Division of Viral and Rickettsial Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


