
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2006 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	42	105	160	444	883	2	34	98	222	97	325	858	1,454	3,815	3,989						
N.C.	12	8	19	38	71	-	5	87	183	57	-	30	114	236	225						
S.C.	-	0	1	-	5	-	1	6	2	4	2	21	146	40	89						
Va.	-	10	26	71	90	-	1	10	-	-	-	19	66	26	106						
W. Va.	-	0	13	10	2	-	0	2	-	1	-	2	13	7	14						
E.S. CENTRAL	2	2	9	28	18	-	5	24	1	3	12	56	134	219	226						
Ala.	2	1	5	11	14	-	0	9	-	1	9	14	39	98	66						
Ky.	-	0	3	-	-	-	0	1	-	-	2	7	26	36	28						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	23	28						
Tenn.	-	1	5	17	4	-	3	18	1	2	1	15	40	62	104						
W.S. CENTRAL	1	13	42	9	119	-	2	32	2	1	48	80	160	376	300						
Ark.	-	0	3	1	7	-	0	32	2	-	44	13	67	116	39						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	31	73						
Okla.	1	1	7	8	12	-	0	23	-	-	4	7	26	39	33						
Tex.	-	12	39	-	100	-	0	7	-	-	-	44	121	190	155						
MOUNTAIN	-	4	18	12	33	-	0	4	-	13	17	47	99	246	248						
Ariz.	-	2	11	12	29	-	0	4	-	11	2	13	28	57	85						
Colo.	-	0	2	-	-	-	0	1	-	-	4	10	45	79	58						
Idaho	-	0	12	-	-	-	0	2	-	-	2	2	17	14	14						
Mont.	-	0	3	-	-	-	0	1	-	-	1	2	16	14	13						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	16	28						
N. Mex.	-	0	1	-	1	-	0	1	-	-	-	5	14	15	22						
Utah	-	0	5	-	-	-	0	1	-	2	5	6	31	38	22						
Wyo.	-	0	2	-	3	-	0	1	-	-	3	1	12	13	6						
PACIFIC	2	4	15	9	13	-	0	2	-	2	68	102	407	606	717						
Alaska	-	0	3	2	1	-	0	0	-	-	2	1	5	16	10						
Calif.	2	3	15	7	12	-	0	1	-	2	57	77	282	481	556						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	36	63						
Oreg.	-	0	1	-	-	-	0	1	-	-	2	8	25	52	41						
Wash.	U	0	0	U	U	N	0	0	N	N	7	8	116	21	47						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	1	4	11	14	N	0	0	N	N	-	7	23	5	56						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


