
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2008 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	38	44	97	901	941	7	8	23	131	184	120	221	286	2,604	2,609						
Ohio	10	6	17	143	165	1	1	3	17	19	3	4	15	88	55						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	3	13	16						
W.N. CENTRAL	1	2	49	73	71	-	0	2	2	9	8	7	14	108	66						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	1	2						
Kans.	-	0	5	31	42	-	0	1	1	2	3	0	5	9	5						
Minn.	-	0	46	-	-	-	0	1	-	5	-	1	4	24	15						
Mo.	1	1	8	42	25	-	0	1	1	-	5	5	11	72	44						
Nebr.	-	0	1	-	1	-	0	0	-	-	-	0	1	2	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	3	-	0	1	-	2	-	0	3	-	-						
S. ATLANTIC	19	19	45	380	409	4	4	11	59	98	26	49	152	525	529						
Del.	-	0	1	1	2	-	0	1	-	1	-	0	3	1	2						
D.C.	-	0	3	11	4	-	0	0	-	-	1	2	10	25	50						
Fla.	9	11	27	208	227	2	2	7	36	54	11	17	35	219	156						
Ga.	10	5	17	136	159	2	1	5	18	38	-	7	131	11	61						
Md.	-	0	2	3	-	-	0	1	1	-	4	6	15	89	77						
N.C.	N	0	0	N	N	N	0	0	N	N	-	5	18	83	98						
S.C.	-	0	0	-	-	-	0	0	-	-	4	1	11	22	25						
Va.	N	0	0	N	N	N	0	0	N	N	6	4	16	75	57						
W. Va.	-	1	12	21	17	-	0	2	4	5	-	0	1	-	3						
E.S. CENTRAL	2	4	12	102	50	-	1	4	13	11	12	20	31	273	192						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	115	66						
Ky.	1	0	3	19	11	-	0	2	4	1	6	1	4	20	23						
Miss.	-	0	0	-	-	-	0	0	-	-	-	2	15	26	30						
Tenn.	1	3	12	83	39	-	0	3	9	10	6	8	15	112	73						
W.S. CENTRAL	1	1	5	20	32	-	0	2	5	2	6	40	56	480	403						
Ark.	1	0	1	4	1	-	0	1	2	-	-	2	10	23	31						
La.	-	1	4	16	31	-	0	2	3	2	6	11	22	88	92						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	5	17	21						
Tex.	-	0	0	-	-	-	0	0	-	-	-	26	46	352	259						
MOUNTAIN	-	1	5	6	10	-	0	2	2	6	1	9	28	52	114						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	5	20	2	52						
Colo.	-	0	0	-	-	-	0	0	-	-	1	1	7	22	14						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	1	1	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	3	-	1						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	6	19	26						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	3	8	15						
Utah	-	0	5	6	7	-	0	2	2	5	-	0	2	-	4						
Wyo.	-	0	2	-	3	-	0	1	-	1	-	0	1	-	1						
PACIFIC	-	0	0	-	-	-	0	1	1	-	6	42	62	438	604						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	2						
Calif.	N	0	0	N	N	N	0	0	N	N	2	38	58	377	564						
Hawaii	-	0	0	-	-	-	0	1	1	-	-	0	2	7	1						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	0	2	5	4						
Wash.	N	0	0	N	N	N	0	0	N	N	4	3	13	49	33						
Amer. Samoa	N	0	0	N	N	N	0	1	N	N	-	0	4	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	1	2	10	34	34						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


