
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 4, 2009 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	65	57	103	975	1,094	4	8	22	134	130	116	255	384	2,830	3,025						
Ohio	10	7	18	131	149	-	1	4	20	17	-	11	27	66	172						
Wis.	-	0	0	-	-	-	0	0	-	-	2	1	4	13	14						
W.N. CENTRAL	4	2	8	36	81	2	0	2	9	4	2	7	14	73	113						
Iowa	-	0	0	-	-	-	0	0	-	-	1	0	2	7	4						
Kans.	3	1	4	11	36	2	0	1	7	1	-	0	3	3	6						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	15	29						
Mo.	1	1	4	21	43	-	0	1	2	1	-	4	10	45	71						
Nebr.	-	0	0	-	-	-	0	0	-	-	1	0	2	3	3						
N. Dak.	-	0	2	4	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	2	-	0	1	-	2	-	0	1	-	-						
S. ATLANTIC	36	22	51	518	451	1	4	14	66	63	39	59	197	678	509						
Del.	-	0	1	6	1	-	0	0	-	-	1	0	4	8	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	2	9	41	28						
Fla.	18	14	36	332	239	1	3	13	47	34	18	20	37	268	207						
Ga.	11	7	23	143	168	-	1	5	19	24	-	13	169	74	48						
Md.	1	0	1	4	4	-	0	0	-	1	9	8	16	81	72						
N.C.	N	0	0	N	N	N	0	0	N	N	8	6	19	122	65						
S.C.	-	0	0	-	-	-	0	0	-	-	3	2	6	19	18						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	64	69						
W. Va.	6	1	7	33	39	-	0	2	-	4	-	0	1	1	1						
E.S. CENTRAL	7	5	25	128	119	-	1	4	17	14	11	22	36	286	266						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	99	120						
Ky.	2	1	6	33	25	-	0	2	4	4	-	1	10	17	14						
Miss.	-	0	2	-	-	-	0	1	-	-	1	3	18	49	26						
Tenn.	5	3	22	95	94	-	0	3	13	10	10	8	19	121	106						
W.S. CENTRAL	-	2	7	29	38	-	0	1	5	7	24	45	74	543	492						
Ark.	-	0	5	16	5	-	0	1	2	2	5	3	35	71	24						
La.	-	1	6	13	33	-	0	1	3	5	-	10	33	48	107						
Okla.	N	0	0	N	N	N	0	0	N	N	1	1	7	14	22						
Tex.	-	0	0	-	-	-	0	0	-	-	18	28	40	410	339						
MOUNTAIN	2	2	7	42	41	-	0	3	6	4	3	9	18	59	141						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	19	77						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	3	28						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	2	1						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	2	1	4	19	20	-	0	1	3	1	3	1	7	25	22						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	10	5						
Utah	-	1	6	19	21	-	0	3	3	3	-	0	2	-	8						
Wyo.	-	0	2	4	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	2	45	71	456	628						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	2	41	65	417	565						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	10	8						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	0	3	8	5						
Wash.	N	0	0	N	N	N	0	0	N	N	-	2	9	21	50						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	1	3	11	43	33						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


