
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 28, 2009 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	68	189	661	1,261	1,213	20	92	159	306	554	19	42	145	100	31						
Kans.	1	1	13	20	4	3	0	3	14	-	-	0	0	-	-						
Minn.	-	2	126	-	-	-	0	10	2	4	-	0	0	-	-						
Mo.	5	7	50	211	67	-	1	8	1	-	-	4	31	2	1						
Nebr.	2	2	32	34	9	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	1	-	-	-	0	7	-	2	-	0	0	-	-						
S. Dak.	-	0	7	3	2	-	0	2	1	3	-	0	1	-	-						
S. ATLANTIC	6	19	71	206	99	2	26	77	148	331	19	15	69	90	20						
Del.	-	0	3	4	-	-	0	0	-	-	-	0	5	-	-						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	-						
Fla.	4	6	20	53	18	2	0	8	25	139	1	0	3	1	1						
Ga.	-	2	9	4	4	-	5	47	61	47	-	1	8	3	3						
Md.	-	2	8	8	17	-	7	17	6	58	1	1	7	5	4						
N.C.	-	0	65	102	35	N	0	4	N	N	17	6	55	75	11						
S.C.	2	2	11	16	8	-	0	0	-	-	-	1	9	3	-						
Va.	-	3	24	17	15	-	10	24	51	77	-	2	15	2	-						
W. Va.	-	0	2	2	-	-	1	9	5	10	-	0	1	1	1						
E.S. CENTRAL	3	8	29	85	40	2	3	7	12	13	-	3	23	3	2						
Ala.	-	1	5	7	11	-	0	0	-	-	-	1	8	1	1						
Ky.	2	3	12	55	6	2	1	4	12	3	-	0	1	-	-						
Miss.	-	2	5	13	17	-	0	1	-	1	-	0	3	1	-						
Tenn.	1	2	14	10	6	-	2	6	-	9	-	2	19	1	1						
W.S. CENTRAL	1	32	179	77	54	-	1	11	4	6	-	2	41	1	2						
Ark.	-	1	20	1	14	-	0	6	2	6	-	0	14	1	-						
La.	-	1	7	7	-	-	0	0	-	-	-	0	1	-	1						
Okla.	1	0	29	6	1	-	0	10	2	-	-	0	26	-	-						
Tex.	-	27	154	63	39	-	0	1	-	-	-	1	6	-	1						
MOUNTAIN	8	14	34	66	136	1	2	8	15	5	-	1	3	1	1						
Ariz.	1	3	10	10	33	N	0	0	N	N	-	0	2	-	-						
Colo.	5	3	13	34	40	-	0	0	-	-	-	0	1	-	-						
Idaho	2	1	5	9	2	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	11	3	15	-	0	3	4	-	-	0	1	-	-						
Nev.	-	0	7	5	1	-	0	4	-	-	-	0	2	-	-						
N. Mex.	-	1	8	4	2	1	0	3	5	4	-	0	1	-	1						
Utah	-	3	17	1	40	-	0	6	-	-	-	0	1	1	-						
Wyo.	-	0	2	-	3	-	0	4	6	1	-	0	2	-	-						
PACIFIC	8	25	81	60	69	3	4	13	16	10	-	0	1	-	-						
Alaska	2	3	21	13	18	-	0	4	2	4	N	0	0	N	N						
Calif.	-	8	23	-	20	3	3	12	14	6	-	0	1	-	-						
Hawaii	-	0	3	5	2	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	3	15	30	16	-	0	2	-	-	-	0	1	-	-						
Wash.	6	5	77	12	13	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	2	1	5	6	5	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


