
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2006 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	55	105	165	874	1,388	13	34	99	278	142	358	866	1,965	5,907	6,008						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	23	39						
N. Mex.	-	0	1	-	1	-	0	1	-	1	-	4	13	33	35						
Utah	-	0	5	-	-	-	0	1	-	2	3	5	31	56	40						
Wyo.	-	0	2	-	6	-	0	1	-	1	-	1	12	14	8						
PACIFIC	3	4	15	25	28	-	0	2	-	-	64	99	416	883	1,047						
Alaska	-	0	3	5	1	-	0	0	-	-	-	1	5	21	12						
Calif.	3	3	15	20	27	-	0	1	-	-	49	76	286	673	822						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	45	73						
Oreg.	-	0	1	-	-	-	0	1	-	-	1	8	25	74	70						
Wash.	U	0	0	U	U	N	0	0	N	N	14	8	121	70	70						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
P.R.	-	2	4	26	20	N	0	0	N	N	-	7	23	12	87						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


