Alaska	-	1	5	21	28	N	0	0	N	N	-	0	2	6	4						
Calif.	49	89	218	938	891	4	0	5	31	N	9	28	81	239	365						
Hawaii	-	5	16	53	68	-	0	3	3	4	-	1	3	11	11						
Oreg.	2	7	17	72	108	-	1	9	9	15	1	1	6	15	57						
Wash.	17	11	83	117	96	3	2	22	13	8	3	2	13	31	45						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	N	-	-	N	N	-	-	-	-	-						
P.R.	8	14	65	118	67	-	0	0	-	-	-	0	6	5	2						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


