
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 8, 2008 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	60	167	534	951	1,840	17	103	197	472	797	-	34	147	35	89						
Ohio	13	12	176	342	159	1	1	11	1	1	-	0	2	1	1						
Wis.	-	0	24	-	48	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	2	12	108	89	118	1	4	13	14	24	-	5	37	9	11						
Iowa	-	2	8	12	41	-	0	3	1	2	-	0	4	-	1						
Kans.	1	2	5	2	44	-	1	7	-	15	-	0	2	-	3						
Minn.	-	0	106	-	-	1	0	6	9	3	-	0	3	-	-						
Mo.	-	2	16	61	14	-	0	3	-	1	-	5	29	9	7						
Nebr.	1	1	12	12	4	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	3	-	0	0	-	-						
S. Dak.	-	0	7	2	14	-	0	2	2	-	-	0	1	-	-						
S. ATLANTIC	5	15	48	93	192	-	41	63	315	420	-	14	111	20	44						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	2	-	4						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	1	-	-						
Fla.	3	3	17	25	65	-	0	6	23	124	-	0	3	1	2						
Ga.	-	0	3	1	12	-	5	31	70	36	-	0	6	3	3						
Md.	-	2	6	12	32	-	9	18	58	60	-	1	5	4	7						
N.C.	-	5	34	35	43	-	9	19	66	72	-	5	96	11	18						
S.C.	1	1	22	9	15	-	0	11	-	23	-	0	7	-	4						
Va.	1	2	11	10	22	-	12	31	85	97	-	2	11	1	6						
W. Va.	-	0	12	-	-	-	0	11	13	8	-	0	3	-	-						
E.S. CENTRAL	2	6	35	39	63	-	3	6	13	23	-	5	16	2	18						
Ala.	-	1	6	10	19	-	0	0	-	-	-	1	10	1	9						
Ky.	-	0	4	6	3	-	0	3	2	5	-	0	2	-	-						
Miss.	1	3	32	16	11	-	0	1	-	-	-	0	3	-	1						
Tenn.	1	1	5	7	30	-	2	6	11	18	-	2	10	1	8						
W.S. CENTRAL	-	20	112	40	71	-	1	23	7	12	-	1	30	1	2						
Ark.	-	2	17	7	5	-	1	3	7	3	-	0	15	-	-						
La.	-	0	2	-	4	-	0	0	-	-	-	0	1	-	1						
Okla.	-	0	26	1	-	-	0	22	-	9	-	0	20	-	-						
Tex.	-	16	102	32	62	-	0	0	-	-	-	1	5	1	1						
MOUNTAIN	9	19	40	87	273	-	3	18	18	10	-	0	4	-	1						
Ariz.	-	2	10	9	81	-	2	12	11	9	-	0	1	-	-						
Colo.	5	5	14	17	78	-	0	0	-	-	-	0	2	-	-						
Idaho	-	0	4	3	9	-	0	4	-	-	-	0	1	-	1						
Mont.	-	0	7	14	8	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	7	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	1	12	-	0	2	6	-	-	0	1	-	-						
Utah	4	6	27	41	67	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	-	11	-	0	4	1	-	-	0	2	-	-						
PACIFIC	16	16	179	55	126	-	4	10	11	26	-	0	2	-	-						
Alaska	1	1	6	17	9	-	0	3	4	16	N	0	0	N	N						
Calif.	-	8	29	-	70	-	3	8	7	10	-	0	2	-	-						
Hawaii	-	0	2	1	7	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	14	9	14	-	0	3	-	-	-	0	1	-	-						
Wash.	15	3	156	28	26	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	0	5	4	15	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


