Ariz.	-	3	20	-	17	-	5	34	-	24	-	0	3	-	3						
Colo.	-	1	5	3	4	-	1	4	3	1	-	0	3	-	1						
Idaho	-	0	3	1	2	-	0	2	1	1	-	0	2	-	-						
Mont.	-	0	2	-	2	-	0	2	-	-	-	0	1	-	-						
Nev.	-	0	2	-	-	-	1	2	-	2	-	0	2	-	-						
N. Mex.	-	0	3	-	3	-	0	3	-	2	-	0	1	-	-						
Utah	-	0	3	1	1	-	0	5	-	4	-	0	2	-	1						
Wyo.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	2						
PACIFIC	15	14	145	108	62	10	10	24	25	51	3	1	6	7	8						
Alaska	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Calif.	11	12	145	102	53	9	6	16	21	39	3	1	6	7	8						
Hawaii	-	0	2	-	3	-	0	1	-	1	-	0	1	-	-						
Oreg.	1	1	4	3	5	1	2	5	4	10	N	0	0	N	N						
Wash.	3	1	5	3	1	-	0	8	-	1	-	0	0	-	-						
Amer. Samoa	U	0	1	U	-	U	0	0	U	-	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	1	6	-	-	-	1	6	-	2	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


