
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 25, 2009 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	108	225	1,879	3,091	2,218	31	88	162	777	1,238	8	41	148	212	91						
Va.	-	3	24	35	32	-	10	24	122	176	-	2	15	10	4						
W. Va.	2	0	2	5	5	5	1	6	30	30	-	0	1	1	2						
E.S. CENTRAL	-	10	33	173	74	1	3	7	33	48	-	4	23	16	13						
Ala.	-	2	7	38	17	-	0	0	-	-	-	1	8	7	6						
Ky.	-	4	15	82	11	1	1	4	21	8	-	0	1	-	-						
Miss.	-	1	5	17	30	-	0	1	-	1	-	0	3	1	2						
Tenn.	-	2	14	36	16	-	2	6	12	39	-	2	19	8	5						
W.S. CENTRAL	-	34	276	304	158	-	1	9	15	25	1	2	41	11	8						
Ark.	-	1	20	20	20	-	0	6	11	13	-	0	14	3	1						
La.	-	2	7	29	4	-	0	0	-	-	-	0	1	-	2						
Okla.	-	0	29	9	2	-	0	9	4	11	1	0	26	2	-						
Tex.	-	28	232	246	132	-	0	1	-	1	-	1	6	6	5						
MOUNTAIN	8	15	31	249	318	-	2	9	32	15	-	1	3	2	3						
Ariz.	1	2	10	38	82	N	0	0	N	N	-	0	2	1	1						
Colo.	7	3	12	76	56	-	0	0	-	-	-	0	1	-	-						
Idaho	-	1	5	22	9	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	4	9	54	-	0	4	10	-	-	0	1	-	-						
Nev.	-	0	3	6	11	-	0	5	-	-	-	0	2	-	-						
N. Mex.	-	1	10	26	21	-	0	3	12	11	-	0	1	-	1						
Utah	-	4	19	71	81	-	0	6	-	-	-	0	1	1	1						
Wyo.	-	0	2	1	4	-	0	4	10	4	-	0	2	-	-						
PACIFIC	33	16	463	191	168	9	4	13	51	42	-	0	1	-	-						
Alaska	-	3	21	26	27	-	0	2	7	10	N	0	0	N	N						
Calif.	-	5	23	13	95	9	3	12	44	31	-	0	1	-	-						
Hawaii	1	0	3	8	4	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	3	16	51	42	-	0	2	-	1	-	0	1	-	-						
Wash.	31	0	459	93	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	1	-	1	1	5	12	17	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


