
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 1, 2008 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	36	172	461	836	1,633	57	103	197	444	731	-	34	147	35	81						
Nebr.	1	1	12	11	3	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	3	-	0	0	-	-						
S. Dak.	-	0	7	2	14	-	0	2	2	-	-	0	1	-	-						
S. ATLANTIC	4	16	48	83	144	41	40	63	306	396	-	15	111	20	42						
Del.	-	0	2	-	1	-	0	0	-	-	-	0	2	-	4						
D.C.	-	0	1	-	1	-	0	0	-	-	-	0	1	-	-						
Fla.	3	3	17	22	48	3	0	6	22	124	-	0	3	1	1						
Ga.	-	0	3	1	12	28	5	31	70	32	-	0	6	3	3						
Md.	-	2	6	11	27	-	9	18	58	57	-	1	5	4	7						
N.C.	-	5	34	35	20	10	9	19	66	64	-	7	96	11	18						
S.C.	1	1	22	6	15	-	0	11	-	21	-	0	7	-	4						
Va.	-	2	11	8	20	-	12	31	77	90	-	2	11	1	5						
W. Va.	-	0	12	-	-	-	0	11	13	8	-	0	3	-	-						
E.S. CENTRAL	-	6	35	32	56	3	3	6	13	19	-	5	16	2	17						
Ala.	-	1	6	5	18	-	0	0	-	-	-	1	10	1	9						
Ky.	-	0	4	6	1	-	0	3	2	5	-	0	2	-	-						
Miss.	-	3	32	15	11	-	0	1	-	-	-	0	2	-	1						
Tenn.	-	1	5	6	26	3	2	6	11	14	-	2	10	1	7						
W.S. CENTRAL	1	20	112	40	58	1	1	23	7	12	-	1	30	1	2						
Ark.	-	2	17	7	3	1	1	3	7	3	-	0	15	-	-						
La.	-	0	2	-	3	-	0	0	-	-	-	0	1	-	1						
Okla.	-	0	26	1	-	-	0	22	-	9	-	0	20	-	-						
Tex.	1	16	102	32	52	-	0	0	-	-	-	1	5	1	1						
MOUNTAIN	2	19	40	54	245	1	3	18	16	9	-	0	4	-	1						
Ariz.	-	2	10	8	74	-	2	12	10	8	-	0	1	-	-						
Colo.	1	5	14	12	71	-	0	0	-	-	-	0	2	-	-						
Idaho	1	0	4	3	9	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	7	14	8	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	7	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	-	10	1	0	2	5	-	-	0	1	-	-						
Utah	-	6	27	15	56	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	-	10	-	0	4	1	-	-	0	2	-	-						
PACIFIC	2	16	138	38	100	1	4	10	11	24	-	0	2	-	-						
Alaska	1	1	6	16	9	-	0	3	4	15	N	0	0	N	N						
Calif.	-	7	28	-	53	1	3	8	7	9	-	0	2	-	-						
Hawaii	-	0	2	1	7	N	0	0	N	N	N	0	0	N	N						
Oreg.	1	1	14	8	14	-	0	3	-	-	-	0	1	-	-						
Wash.	-	3	115	13	17	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	2	0	5	4	15	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


