
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2009 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	60	52	105	293	404	7	8	23	29	41	94	240	433	834	1,059						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
S. ATLANTIC	45	22	53	180	158	4	4	13	14	15	11	55	107	158	169						
Del.	-	0	1	1	-	-	0	0	-	-	1	0	4	6	-						
D.C.	-	0	3	-	4	-	0	1	-	-	1	2	9	24	13						
Fla.	26	14	30	109	100	-	2	12	7	12	-	19	37	55	78						
Ga.	17	7	23	58	46	4	1	5	7	2	-	13	65	-	6						
Md.	-	0	2	1	2	-	0	0	-	1	-	7	14	10	20						
N.C.	N	0	0	N	N	N	0	0	N	N	9	5	19	50	24						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	3	12						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	10	16						
W. Va.	2	1	9	11	6	-	0	2	-	-	-	0	1	-	-						
E.S. CENTRAL	6	5	20	28	45	1	1	4	4	3	17	21	37	100	91						
Ala.	N	0	0	N	N	N	0	0	N	N	2	8	17	31	45						
Ky.	3	1	6	12	9	1	0	2	3	1	1	1	10	7	7						
Miss.	-	0	2	-	-	-	0	1	-	-	9	3	18	15	7						
Tenn.	3	3	18	16	36	-	0	3	1	2	5	8	19	47	32						
W.S. CENTRAL	-	2	7	7	15	-	0	2	1	3	3	42	65	146	186						
Ark.	-	0	4	5	1	-	0	1	1	-	1	3	19	30	8						
La.	-	1	6	2	14	-	0	1	-	3	2	10	31	9	34						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	7	4	16						
Tex.	-	0	0	-	-	-	0	0	-	-	-	26	46	103	128						
MOUNTAIN	-	1	11	4	8	-	0	4	1	1	-	9	25	13	51						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	2	29						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	7	2	8						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	-	-						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	N	0	1	N	N	N	0	0	N	N	-	1	6	7	9						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	2	5						
Utah	-	1	10	1	8	-	0	4	1	1	-	0	18	-	-						
Wyo.	-	0	2	3	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	7	44	71	117	252						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	7	39	65	104	222						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	4	4						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	0	3	3	2						
Wash.	N	0	0	N	N	N	0	0	N	N	-	3	9	6	24						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	3	11	12	5						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


