Kans.	2	7	16	58	58	1	0	4	5	-	1	2	11	7	19						
Minn.	11	11	60	76	76	2	3	26	15	20	7	4	24	59	20						
Mo.	9	14	35	132	98	-	2	13	8	20	24	11	69	261	116						
Nebr.	1	3	9	22	36	-	1	11	5	3	-	1	14	3	23						
N. Dak.	-	0	5	7	3	-	0	0	-	-	-	0	18	4	2						
S. Dak.	-	3	11	35	23	-	0	5	-	1	-	6	24	12	15						
S. ATLANTIC	107	223	395	1,685	1,390	9	11	32	75	56	80	68	143	765	473						
Del.	-	2	10	8	14	-	0	3	3	-	-	0	2	3	-						
D.C.	-	1	4	8	13	-	0	1	-	-	-	0	5	3	3						
Fla.	52	95	176	693	596	2	2	9	23	10	65	32	76	467	206						
Ga.	20	34	66	335	185	-	1	7	8	8	13	24	54	252	155						
Md.	9	13	33	124	99	1	2	9	15	11	2	1	10	16	28						
N.C.	19	29	130	297	288	6	2	11	15	17	-	1	14	9	49						
S.C.	7	19	51	107	69	-	0	3	-	2	-	0	9	6	23						
Va.	-	21	58	106	117	-	2	11	11	8	-	2	9	9	9						
W. Va.	-	1	16	7	9	-	0	5	-	-	-	0	2	-	-						
E.S. CENTRAL	9	51	137	279	305	-	4	21	13	26	-	12	75	108	137						
Ala.	-	10	70	63	112	-	0	5	1	2	-	4	66	32	25						
Ky.	1	8	23	71	60	-	1	12	4	7	-	2	15	12	74						
Miss.	-	12	42	18	50	-	0	0	-	-	-	1	15	13	21						
Tenn.	8	17	32	127	83	-	2	9	8	17	-	4	13	51	17						
W.S. CENTRAL	12	84	185	166	442	-	3	51	11	12	9	37	185	113	212						
Ark.	5	15	45	46	178	-	0	7	4	1	2	2	10	14	12						
La.	-	16	42	54	37	-	0	1	-	-	-	2	24	22	3						
Okla.	5	8	40	48	42	-	0	17	2	1	1	2	9	9	18						
Tex.	2	46	107	18	185	-	2	47	5	10	6	30	172	68	179						
MOUNTAIN	37	51	87	381	393	1	7	34	26	36	5	26	87	131	148						
Ariz.	10	18	45	140	141	1	1	13	11	11	1	11	35	64	82						
Colo.	15	12	30	101	88	-	1	8	1	10	1	4	15	20	16						
Idaho	1	3	9	22	27	-	2	8	3	4	-	0	3	1	4						
Mont.	-	2	10	14	18	-	0	0	-	-	-	0	13	2	-						
Nev.	7	3	20	32	21	-	0	4	2	4	2	1	20	10	12						
N. Mex.	-	4	15	27	40	-	1	5	5	3	-	2	15	18	24						
Utah	4	5	15	32	46	-	1	14	4	3	1	1	6	5	9						
Wyo.	-	1	4	13	12	-	0	3	-	1	-	0	19	11	1						
PACIFIC	41	116	302	764	800	2	4	21	22	20	4	32	90	191	362						
Alaska	2	1	5	15	21	N	0	0	N	N	-	0	2	5	1						
Calif.	32	89	218	616	619	1	0	5	11	N	3	28	81	160	270						
Hawaii	-	5	16	41	41	-	0	3	1	2	-	1	3	6	10						
Oreg.	-	7	16	40	68	-	1	9	3	13	-	1	6	8	50						
Wash.	7	10	79	52	51	1	2	19	7	5	1	2	13	12	31						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
P.R.	10	13	65	75	44	-	0	0	-	-	-	0	6	4	2						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


