
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 14, 2012 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	105	235	346	193	318	-	3	15	2	4	3	26	140	11	9						
Ariz.	-	5	27	2	16	-	0	2	-	3	-	0	6	-	3						
Colo.	-	1	8	1	9	-	0	0	-	-	-	0	1	-	-						
Idaho	-	0	3	-	1	-	0	0	-	-	-	0	1	-	-						
Mont.	1	1	15	1	-	-	0	0	-	-	-	0	1	-	-						
Nev.	1	0	4	1	-	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	2	7	-	2	-	0	0	-	-	-	0	0	-	-						
Utah	-	1	4	-	2	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	6	20	44	15	41	-	0	2	1	-	-	0	1	1	-						
Alaska	2	0	2	2	-	N	0	0	N	N	N	0	0	N	N						
Calif.	4	16	41	13	36	-	0	2	1	-	-	0	1	1	-						
Hawaii	-	1	3	-	2	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	-	3	-	0	0	-	-	-	0	0	-	-						
Wash.	-	1	9	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	1	-	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	-	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


