
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 10, 2006 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	10,577	18,806	35,170	397,740	420,935	161	122	1,643	3,495	1,697	38	70	860	1,025	907						
La.	229	291	761	7,143	8,159	-	0	1	-	N	-	0	21	8	3						
Okla.	340	230	2,159	5,327	4,746	N	0	0	N	N	2	1	10	14	10						
Tex.	723	1,391	1,810	31,975	33,051	N	0	0	N	N	1	1	19	32	14						
MOUNTAIN	372	1,095	1,839	20,301	27,962	148	91	452	2,394	1,036	4	2	9	38	52						
Ariz.	360	364	642	7,767	10,135	148	89	448	2,354	985	-	0	1	4	4						
Colo.	-	226	482	2,687	6,466	N	0	0	N	N	3	1	3	14	17						
Idaho	-	52	235	1,329	823	N	0	0	N	N	1	0	2	4	4						
Mont.	-	40	195	825	1,014	N	0	0	N	N	-	0	2	7	8						
Nev.	12	100	432	1,795	3,259	-	1	4	19	35	-	0	1	3	7						
N. Mex.	-	164	338	3,616	3,859	-	0	2	1	10	-	0	3	-	6						
Utah	-	89	136	1,661	1,928	-	0	3	18	4	-	0	3	6	4						
Wyo.	-	25	55	621	478	-	0	2	2	2	-	0	1	-	2						
PACIFIC	1,579	3,258	5,079	70,872	73,425	13	34	1,179	1,082	654	1	4	52	29	132						
Alaska	91	83	152	1,839	1,814	-	0	0	-	-	-	0	2	1	-						
Calif.	1,061	2,536	4,231	54,615	56,923	13	34	1,179	1,082	654	-	2	14	-	92						
Hawaii	-	107	135	2,216	2,381	N	0	0	N	N	-	0	1	-	-						
Oreg.	154	179	315	4,237	3,904	N	0	0	N	N	1	1	20	28	21						
Wash.	273	357	604	7,965	8,403	N	0	0	N	N	-	0	38	-	19						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	17	37	-	333	-	0	0	-	-	-	0	0	-	-						
P.R.	-	80	162	1,877	1,902	N	0	0	N	N	N	0	0	N	N						
V.I.	-	2	7	-	155	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


