
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 21, 2009 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	88	199	1,071	1,867	1,601	64	93	162	450	776	4	42	145	126	42						
E.S. CENTRAL	1	9	33	105	52	2	3	7	14	25	-	3	23	5	4						
Ala.	-	1	4	9	16	-	0	0	-	-	-	1	8	3	3						
Ky.	1	4	15	70	7	2	1	4	14	3	-	0	1	-	-						
Miss.	-	2	5	14	21	-	0	1	-	1	-	0	3	1	-						
Tenn.	-	2	14	12	8	-	2	6	-	21	-	2	19	1	1						
W.S. CENTRAL	3	32	264	146	102	1	1	11	5	10	-	2	41	1	4						
Ark.	1	1	20	2	16	-	0	6	2	9	-	0	14	1	-						
La.	1	2	7	16	1	-	0	0	-	-	-	0	1	-	2						
Okla.	1	0	29	7	1	1	0	10	3	-	-	0	26	-	-						
Tex.	-	27	220	121	84	-	0	1	-	1	-	1	6	-	2						
MOUNTAIN	7	15	32	131	213	3	2	9	20	8	-	1	3	1	1						
Ariz.	3	3	10	19	58	N	0	0	N	N	-	0	2	-	-						
Colo.	-	3	13	38	47	-	0	0	-	-	-	0	1	-	-						
Idaho	3	1	5	15	4	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	10	5	29	3	0	3	8	-	-	0	1	-	-						
Nev.	1	0	7	6	3	-	0	4	-	-	-	0	2	-	-						
N. Mex.	-	1	10	18	7	-	0	3	6	6	-	0	1	-	1						
Utah	-	4	20	30	61	-	0	6	-	-	-	0	1	1	-						
Wyo.	-	0	2	-	4	-	0	4	6	2	-	0	2	-	-						
PACIFIC	14	25	81	97	135	7	3	13	26	20	-	0	1	-	-						
Alaska	2	3	21	19	21	1	0	2	5	9	N	0	0	N	N						
Calif.	-	8	23	-	38	6	3	12	21	11	-	0	1	-	-						
Hawaii	-	0	3	5	3	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	3	16	39	31	-	0	2	-	-	-	0	1	-	-						
Wash.	11	5	77	34	42	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	1	5	8	7	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


