
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2013 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2013
Varicella (chickenpox) cummulative for 2012
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2013
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2013
West Nile virus disease † Non-neuroinvasive § cummulative for 2012

tab delimited data:
test
UNITED STATES	55	213	370	299	1,297	-	4	321	-	-	-	3	338	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	-	5	24	-	45	-	0	3	-	-	-	0	1	-	-						
Nebr.	-	0	3	-	1	-	0	8	-	-	-	0	23	-	-						
N. Dak.	-	0	5	5	1	-	0	9	-	-	-	0	11	-	-						
S. Dak.	-	0	3	-	3	-	0	17	-	-	-	0	27	-	-						
S. ATLANTIC	-	22	76	10	178	-	0	20	-	-	-	0	19	-	-						
Del.	-	0	1	-	2	-	0	1	-	-	-	0	2	-	-						
D.C.	-	0	4	-	1	-	0	3	-	-	-	0	1	-	-						
Fla.	-	12	50	-	95	-	0	5	-	-	-	0	5	-	-						
Ga.	-	1	9	7	-	-	0	6	-	-	-	0	10	-	-						
Md.	N	0	0	N	N	-	0	5	-	-	-	0	5	-	-						
N.C.	N	0	0	N	N	-	0	4	-	-	-	0	1	-	-						
S.C.	-	0	2	-	-	-	0	5	-	-	-	0	2	-	-						
Va.	-	7	17	1	41	-	0	4	-	-	-	0	3	-	-						
W. Va.	-	3	12	2	39	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	3	13	3	24	-	0	20	-	-	-	0	21	-	-						
Ala.	-	3	12	3	21	-	0	7	-	-	-	0	3	-	-						
Ky.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
Miss.	-	0	1	-	3	-	0	12	-	-	-	0	17	-	-						
Tenn.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
W.S. CENTRAL	1	41	98	19	206	-	1	144	-	-	-	1	163	-	-						
Ark.	-	3	17	-	16	-	0	9	-	-	-	0	3	-	-						
La.	1	1	7	5	15	-	0	18	-	-	-	0	26	-	-						
Okla.	N	0	0	N	N	-	0	24	-	-	-	0	22	-	-						
Tex.	-	39	94	14	175	-	1	104	-	-	-	1	128	-	-						
MOUNTAIN	4	25	61	14	178	-	0	37	-	-	-	0	22	-	-						
Ariz.	3	8	20	3	68	-	0	10	-	-	-	0	6	-	-						
Colo.	-	8	25	-	49	-	0	17	-	-	-	0	13	-	-						
Idaho	N	0	0	N	N	-	0	1	-	-	-	0	3	-	-						
Mont.	-	2	8	3	12	-	0	1	-	-	-	0	2	-	-						
Nev.	N	0	0	N	N	-	0	1	-	-	-	0	2	-	-						
N. Mex.	-	1	8	-	14	-	0	9	-	-	-	0	5	-	-						
Utah	1	5	15	8	32	-	0	1	-	-	-	0	1	-	-						
Wyo.	-	0	2	-	3	-	0	1	-	-	-	0	2	-	-						
PACIFIC	-	2	8	4	10	-	0	32	-	-	-	0	26	-	-						
Alaska	-	1	4	4	3	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	3	-	4	-	0	32	-	-	-	0	25	-	-						
Hawaii	-	1	3	-	3	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Wash.	N	0	0	N	N	-	0	4	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	6	-	19	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not reportable in all states.  Data from states where the condition is not reportable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


