
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 12, 2008 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	39	46	129	967	1,008	9	8	26	143	196	109	222	286	2,800	2,799						
Mo.	2	1	8	45	26	-	0	1	1	-	-	5	10	71	49						
Nebr.	-	0	1	-	2	-	0	0	-	-	-	0	1	2	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	4	-	0	1	-	2	-	0	3	-	-						
S. ATLANTIC	17	19	45	406	436	5	4	9	64	103	32	49	152	568	586						
Del.	-	0	1	1	3	-	0	1	-	1	-	0	3	1	3						
D.C.	-	0	3	11	4	-	0	0	-	-	1	2	10	26	53						
Fla.	16	11	26	224	241	4	2	6	40	56	6	17	35	236	175						
Ga.	1	7	17	143	169	1	1	5	19	41	-	7	131	11	73						
Md.	-	0	2	3	1	-	0	1	1	-	12	6	15	101	92						
N.C.	N	0	0	N	N	N	0	0	N	N	6	5	18	89	100						
S.C.	-	0	0	-	-	-	0	0	-	-	-	1	11	22	25						
Va.	N	0	0	N	N	N	0	0	N	N	7	4	17	82	61						
W. Va.	-	1	12	24	18	-	0	2	4	5	-	0	1	-	4						
E.S. CENTRAL	8	4	12	113	52	2	1	4	16	11	7	20	31	287	204						
Ala.	N	0	0	N	N	N	0	0	N	N	4	8	17	123	73						
Ky.	2	0	3	24	12	-	0	2	4	1	-	1	6	20	24						
Miss.	-	0	0	-	-	-	0	0	-	-	-	2	15	28	32						
Tenn.	6	3	12	89	40	2	0	3	12	10	3	8	14	116	75						
W.S. CENTRAL	-	1	5	21	35	-	0	2	6	3	12	39	56	492	425						
Ark.	-	0	1	4	1	-	0	1	2	-	2	2	10	25	33						
La.	-	1	4	17	34	-	0	2	4	3	9	11	22	97	99						
Okla.	N	0	0	N	N	N	0	0	N	N	1	1	5	18	21						
Tex.	-	0	0	-	-	-	0	0	-	-	-	25	46	352	272						
MOUNTAIN	1	1	6	8	12	-	0	2	2	6	-	9	28	53	126						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	20	2	60						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	7	22	15						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	1	1	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	3	-	1						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	6	20	28						
N. Mex.	1	0	1	1	-	-	0	0	-	-	-	1	3	8	16						
Utah	-	0	6	7	9	-	0	2	2	5	-	0	2	-	4						
Wyo.	-	0	2	-	3	-	0	1	-	1	-	0	1	-	1						
PACIFIC	-	0	0	-	-	-	0	1	1	-	5	42	65	497	646						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	3						
Calif.	N	0	0	N	N	N	0	0	N	N	4	38	58	434	601						
Hawaii	-	0	0	-	-	-	0	1	1	-	-	0	2	8	1						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	0	2	6	5						
Wash.	N	0	0	N	N	N	0	0	N	N	-	3	13	49	36						
Amer. Samoa	N	0	0	N	N	N	0	1	N	N	-	0	4	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	5	2	10	39	35						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


