Ala.	3	6	22	155	102	-	0	1	1	-	3	2	8	48	23						
Ky.	-	5	21	180	137	-	0	1	-	-	-	0	3	10	-						
Miss.	-	5	24	127	69	-	0	0	-	1	-	0	2	3	7						
Tenn.	-	4	11	86	86	-	0	2	-	1	8	5	37	252	87						
W.S. CENTRAL	25	60	189	1,089	1,277	-	0	6	3	-	3	11	292	230	13						
Ark.	2	1	5	24	45	-	0	3	1	-	-	8	63	149	2						
La.	-	7	25	83	200	-	0	0	-	-	-	0	2	3	2						
Okla.	7	6	55	218	41	-	0	5	1	-	3	0	260	49	4						
Tex.	16	41	122	764	991	-	0	1	1	-	-	1	13	29	5						
MOUNTAIN	7	12	41	200	363	-	0	3	7	13	1	1	6	30	26						
Ariz.	6	7	28	144	114	-	0	3	7	12	-	0	5	19	20						
Colo.	-	1	8	24	38	-	0	0	-	-	-	0	1	2	1						
Idaho	-	0	3	2	9	-	0	0	-	-	-	0	2	3	-						
Mont.	-	0	5	5	103	-	0	0	-	-	-	0	1	-	-						
Nev.	1	0	4	4	10	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	1	7	14	60	-	0	0	-	-	-	0	1	1	-						
Utah	-	0	3	7	28	-	0	0	-	1	-	0	1	3	2						
Wyo.	-	0	1	-	1	-	0	0	-	-	1	0	2	2	3						
PACIFIC	9	18	45	403	464	-	0	2	5	-	-	0	3	5	1						
Alaska	-	0	2	6	3	N	0	0	N	N	N	0	0	N	N						
Calif.	6	14	41	311	360	-	0	2	5	-	-	0	2	4	1						
Hawaii	-	0	3	10	32	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	6	33	26	-	0	0	-	-	-	0	1	1	-						
Wash.	3	1	10	43	43	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	0	-	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	3	-	6	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	1	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


