
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 4, 2012 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	147	247	464	1,270	1,822	12	20	41	84	103	60	265	317	600	1,148						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	8	-	17						
Nebr.	4	2	9	21	17	-	0	2	1	1	-	0	2	-	1						
N. Dak.	-	0	25	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	48	65	143	364	593	8	5	15	29	36	23	69	100	186	240						
Del.	-	1	5	6	11	-	0	0	-	-	3	0	4	7	3						
D.C.	-	1	5	1	7	-	0	1	1	1	-	3	8	19	15						
Fla.	24	21	55	139	254	4	2	8	12	16	5	23	36	77	111						
Ga.	10	19	38	102	157	1	2	5	8	12	7	15	48	31	26						
Md.	5	9	29	33	88	1	1	3	2	5	3	9	20	13	29						
N.C.	N	0	0	N	N	N	0	0	N	N	5	8	21	28	18						
S.C.	3	8	22	54	76	-	0	3	1	2	-	4	11	-	19						
Va.	N	0	0	N	N	-	0	0	-	-	-	4	12	11	19						
W. Va.	6	1	48	29	-	2	0	4	5	-	-	0	2	-	-						
E.S. CENTRAL	7	23	45	114	165	-	2	4	8	16	3	15	30	23	50						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	11	7	18						
Ky.	2	4	12	22	32	-	0	3	-	5	3	2	8	7	7						
Miss.	N	0	0	N	N	-	0	0	-	-	-	3	22	-	6						
Tenn.	5	19	39	92	133	-	2	3	8	11	-	5	11	9	19						
W.S. CENTRAL	17	31	122	130	171	1	3	10	12	7	11	36	50	117	133						
Ark.	3	4	14	20	31	-	0	4	2	2	-	4	10	-	15						
La.	-	2	11	21	35	-	0	2	2	1	-	7	25	15	10						
Okla.	N	0	0	N	N	-	0	0	-	-	-	1	6	2	3						
Tex.	14	24	108	89	105	1	3	9	8	4	11	23	38	100	105						
MOUNTAIN	15	26	72	121	251	1	2	8	8	14	3	12	20	16	51						
Ariz.	12	12	45	91	141	1	1	5	7	8	2	4	10	9	18						
Colo.	-	9	23	10	52	-	0	4	-	1	-	2	6	4	11						
Idaho	N	0	0	N	N	-	0	0	-	-	1	0	4	2	3						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	3						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	9	-	11						
N. Mex.	-	4	12	17	31	-	0	2	1	1	-	1	4	-	3						
Utah	-	1	8	-	23	-	0	3	-	4	-	0	2	1	2						
Wyo.	3	0	3	3	4	-	0	0	-	-	-	0	0	-	-						
PACIFIC	2	2	11	9	16	1	0	2	5	1	7	57	74	137	287						
Alaska	2	2	11	9	16	1	0	2	5	1	1	0	2	2	-						
Calif.	N	0	0	N	N	N	0	0	N	N	3	44	62	114	240						
Hawaii	-	0	1	-	-	-	0	1	-	-	-	0	3	-	-						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	4	14	5	14						
Wash.	N	0	0	N	N	N	0	0	N	N	3	6	11	16	33						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	5	4	15	19	11						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


