
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending May 28, 2011 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	109	275	1,009	6,330	8,336	11	24	123	482	1,004	72	253	354	4,318	5,189						
Md.	-	9	32	287	266	-	1	4	14	31	-	8	17	169	97						
N.C.	N	0	0	N	N	N	0	0	N	N	4	7	19	147	192						
S.C.	-	8	25	252	291	-	1	3	15	34	4	3	10	85	55						
Va.	N	0	0	N	N	N	0	0	N	N	8	4	16	94	115						
W. Va.	-	0	14	-	54	-	0	6	-	10	-	0	2	-	3						
E.S. CENTRAL	11	19	40	489	578	1	1	4	28	57	2	13	34	230	359						
Ala.	N	0	0	N	N	N	0	0	N	N	-	3	11	41	111						
Ky.	N	0	0	N	N	N	0	0	N	N	1	3	16	44	46						
Miss.	N	0	0	N	N	N	0	0	N	N	-	3	16	50	80						
Tenn.	11	19	36	489	578	1	1	4	28	57	1	5	11	95	122						
W.S. CENTRAL	24	34	376	987	943	1	4	38	89	118	20	37	71	643	783						
Ark.	3	3	26	126	95	-	0	3	10	11	1	3	10	71	105						
La.	-	3	11	97	56	-	0	2	8	16	-	8	36	116	160						
Okla.	N	0	0	N	N	N	0	0	N	N	1	1	6	22	40						
Tex.	21	27	333	764	792	1	3	27	71	91	18	23	33	434	478						
MOUNTAIN	3	31	75	908	1,002	-	3	8	63	144	1	12	24	203	207						
Ariz.	3	11	43	449	500	-	1	5	29	65	1	4	9	72	84						
Colo.	-	10	23	244	283	-	1	3	15	42	-	2	8	46	49						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	2	3	2						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	2	1	-						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	9	51	35						
N. Mex.	-	3	13	135	91	-	0	2	9	13	-	1	4	25	10						
Utah	-	3	8	63	118	-	0	3	10	22	-	0	5	5	27						
Wyo.	-	0	15	17	10	-	0	1	-	2	-	0	0	-	-						
PACIFIC	-	2	24	73	67	-	0	5	6	16	13	51	66	953	923						
Alaska	-	2	11	72	67	-	0	2	6	16	-	0	1	-	3						
Calif.	N	0	0	N	N	N	0	0	N	N	7	41	57	777	789						
Hawaii	-	0	3	1	-	-	0	0	-	-	-	0	5	6	18						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	1	7	37	26						
Wash.	N	0	0	N	N	N	0	0	N	N	6	6	13	133	87						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	4	4	15	86	85						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


