
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 10, 2008 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	52	159	1,132	2,115	3,240	49	98	173	1,309	1,992	6	31	165	96	263						
Minn.	-	0	131	5	48	-	0	6	17	4	-	0	4	-	-						
Mo.	1	2	18	94	29	3	0	3	5	5	2	3	25	10	26						
Nebr.	2	1	12	21	9	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	4	-	0	5	8	6	-	0	0	-	-						
S. Dak.	-	0	4	3	38	-	0	2	2	7	-	0	1	-	1						
S. ATLANTIC	7	14	50	209	359	25	40	61	698	845	-	14	111	39	117						
Del.	-	0	2	2	2	-	0	0	-	-	-	0	2	1	5						
D.C.	-	0	2	4	2	-	0	0	-	-	-	0	1	1	1						
Fla.	5	3	9	61	96	-	0	25	44	124	-	0	3	2	3						
Ga.	-	0	3	-	15	-	6	17	110	81	-	0	6	4	13						
Md.	1	2	6	27	51	-	9	18	128	137	-	1	6	11	15						
N.C.	-	2	38	59	112	16	9	19	170	168	-	1	96	11	58						
S.C.	-	1	22	22	34	-	0	11	-	46	-	0	7	2	9						
Va.	1	2	11	32	41	9	13	27	211	260	-	2	11	6	12						
W. Va.	-	0	12	2	6	-	0	11	35	29	-	0	3	1	1						
E.S. CENTRAL	2	7	31	73	95	-	3	7	34	53	-	4	16	15	60						
Ala.	1	1	6	18	28	-	0	0	-	-	-	1	10	6	15						
Ky.	-	0	4	7	9	-	0	3	8	7	-	0	2	-	1						
Miss.	1	3	29	32	15	-	0	1	1	-	-	0	3	1	2						
Tenn.	-	1	4	16	43	-	2	6	25	46	-	1	10	8	42						
W.S. CENTRAL	-	19	186	115	260	2	14	40	37	421	1	2	122	12	7						
Ark.	-	2	17	20	56	2	1	7	24	10	-	0	15	1	-						
La.	-	0	2	2	9	-	0	0	-	-	-	0	2	2	1						
Okla.	-	0	26	4	1	-	0	32	13	19	1	0	101	4	-						
Tex.	-	16	170	89	194	-	12	34	-	392	-	1	8	5	6						
MOUNTAIN	1	19	37	249	458	-	2	8	18	3	-	0	4	3	5						
Ariz.	-	2	8	38	125	N	0	0	N	N	-	0	1	2	1						
Colo.	-	5	13	31	114	-	0	0	-	-	-	0	2	-	-						
Idaho	1	0	4	14	18	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	11	56	21	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	7	12	14	-	0	2	1	-	-	0	0	-	-						
N. Mex.	-	1	7	7	21	-	0	2	13	1	-	0	1	1	1						
Utah	-	5	27	89	130	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	2	15	-	0	4	4	1	-	0	2	-	2						
PACIFIC	11	13	616	239	190	3	4	10	49	76	-	0	1	2	1						
Alaska	-	1	6	25	13	-	0	3	10	28	N	0	0	N	N						
Calif.	-	8	129	77	132	3	3	8	38	48	-	0	1	1	1						
Hawaii	-	0	2	4	9	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	2	14	40	36	-	0	3	1	-	-	0	1	1	-						
Wash.	11	0	482	93	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	1	5	22	19	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


