
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 25, 2006 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	8,326	18,460	23,604	108,690	142,073	55	89	1,149	706	732	31	70	852	305	266						
S. ATLANTIC	2,408	3,377	4,677	21,572	27,618	-	0	1	2	-	11	12	53	99	48						
Del.	67	68	92	549	474	N	0	0	N	N	-	0	2	-	-						
D.C.	-	67	103	162	601	-	0	0	-	-	1	0	3	5	-						
Fla.	724	869	1,027	6,533	6,602	N	0	0	N	N	7	5	28	37	16						
Ga.	-	585	1,556	627	3,923	-	0	0	-	-	-	2	12	28	12						
Md.	194	364	525	2,639	2,540	-	0	1	2	-	-	0	4	4	5						
N.C.	633	533	1,743	5,417	5,892	N	0	0	N	N	2	1	10	22	8						
S.C.	308	323	1,418	1,611	3,631	-	0	0	-	-	-	0	4	-	-						
Va.	424	427	841	3,243	3,627	N	0	0	N	N	-	1	8	2	3						
W. Va.	58	46	354	791	328	N	0	0	N	N	1	0	3	1	4						
E.S. CENTRAL	413	1,359	2,188	8,653	10,574	-	0	0	-	-	1	3	21	4	8						
Ala.	346	319	1,048	2,406	1,908	N	0	0	N	N	-	0	3	2	4						
Ky.	67	158	323	1,442	1,964	N	0	0	N	N	-	1	20	1	1						
Miss.	-	385	801	1,495	3,309	-	0	0	-	-	-	0	1	-	1						
Tenn.	-	456	624	3,310	3,393	N	0	0	N	N	1	0	4	1	2						
W.S. CENTRAL	370	1,973	3,297	9,926	18,322	-	0	1	-	-	2	2	30	20	11						
Ark.	143	170	340	1,155	1,344	-	0	0	-	-	-	0	1	1	-						
La.	66	251	760	346	2,298	N	0	1	N	N	-	0	21	2	2						
Okla.	161	226	2,127	1,564	1,607	N	0	0	N	N	2	0	10	9	4						
Tex.	-	1,309	1,702	6,861	13,073	N	0	0	N	N	-	1	8	8	5						
MOUNTAIN	307	1,048	1,563	4,873	8,952	38	66	204	384	429	3	2	8	12	14						
Ariz.	211	322	516	2,372	3,341	38	64	204	367	409	-	0	1	2	3						
Colo.	-	251	376	991	2,242	N	0	0	N	N	-	1	3	2	5						
Idaho	-	25	236	-	275	N	0	0	N	N	-	0	2	-	-						
Mont.	85	42	179	85	387	N	0	0	N	N	-	0	3	1	-						
Nev.	-	138	465	808	1,127	-	1	4	10	16	-	0	2	1	3						
N. Mex.	-	108	281	-	746	-	0	2	-	3	-	0	2	-	2						
Utah	1	87	132	414	656	-	0	3	5	1	3	0	3	6	1						
Wyo.	10	23	43	203	178	-	0	2	2	-	-	0	2	-	-						
PACIFIC	1,492	3,161	4,566	19,722	24,364	17	28	1,060	316	302	-	6	49	12	42						
Alaska	83	76	121	453	514	-	0	0	-	-	-	0	2	-	-						
Calif.	1,007	2,448	3,802	15,071	18,882	17	28	1,060	316	302	-	3	14	-	37						
Hawaii	-	106	133	730	845	N	0	0	N	N	-	0	1	-	-						
Oreg.	174	163	315	960	1,294	N	0	0	N	N	-	1	20	12	5						
Wash.	228	362	485	2,508	2,829	N	0	0	N	N	-	0	35	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	76	141	490	569	N	0	0	N	N	N	0	0	N	N						
V.I.	-	4	12	-	70	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


