
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 2, 2007 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	42	255	1,386	2,950	5,887	47	96	168	1,684	2,131	25	24	157	314	476						
S. ATLANTIC	6	19	163	389	439	25	40	63	839	993	21	12	67	171	312						
Del.	-	0	1	3	2	-	0	0	-	-	-	0	3	4	8						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	3	4	18	103	90	-	0	24	55	176	1	0	4	7	7						
Ga.	-	1	7	6	33	-	5	9	81	103	-	0	5	5	12						
Md.	2	2	7	50	73	-	6	12	116	185	-	1	7	16	12						
N.C.	-	1	112	145	77	9	11	21	206	165	19	6	61	109	254						
S.C.	1	3	11	36	64	-	3	11	46	56	-	0	5	6	5						
Va.	-	2	17	37	86	16	12	31	300	265	1	2	12	22	13						
W. Va.	-	0	19	7	11	-	1	8	35	43	-	0	2	1	1						
E.S. CENTRAL	-	6	24	77	120	-	4	11	60	105	-	5	27	54	63						
Ala.	-	1	17	23	25	-	0	8	-	33	-	1	9	12	16						
Ky.	-	0	5	2	22	-	0	4	8	7	-	0	1	1	-						
Miss.	-	0	9	9	17	-	0	0	-	4	-	0	1	-	-						
Tenn.	-	3	9	43	56	-	2	8	52	61	-	4	22	41	47						
W.S. CENTRAL	4	17	153	185	276	3	15	35	33	362	-	1	114	4	9						
Ark.	4	2	17	42	30	-	0	5	10	15	-	0	53	-	6						
La.	-	0	2	6	16	-	0	1	-	2	-	0	1	-	-						
Okla.	-	0	9	1	3	3	0	7	23	24	-	0	55	-	1						
Tex.	-	14	134	136	227	-	14	34	-	321	-	0	6	4	2						
MOUNTAIN	9	29	63	514	1,390	3	2	28	41	63	-	0	4	1	8						
Ariz.	-	6	16	127	312	2	2	10	36	50	-	0	2	-	2						
Colo.	6	7	18	141	481	-	0	0	-	-	-	0	1	-	1						
Idaho	-	1	7	20	31	-	0	24	-	-	-	0	3	1	-						
Mont.	-	1	8	24	49	-	0	2	-	6	-	0	2	-	-						
Nev.	-	0	9	3	37	-	0	1	-	-	-	0	0	-	-						
N. Mex.	-	2	8	17	39	-	0	1	1	5	-	0	1	-	3						
Utah	3	9	48	170	410	1	0	1	3	1	-	0	0	-	-						
Wyo.	-	1	8	12	31	-	0	2	1	1	-	0	1	-	2						
PACIFIC	7	24	547	122	574	1	4	13	85	81	-	0	1	-	1						
Alaska	2	1	8	13	32	-	0	6	33	13	N	0	0	N	N						
Calif.	-	21	225	-	421	1	3	12	52	66	-	0	0	-	-						
Hawaii	-	0	5	10	54	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	11	42	67	-	0	4	-	2	-	0	1	-	1						
Wash.	5	0	377	57	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	1	7	-	13	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	1	4	19	49	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


