
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2013 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	228	254	455	854	1,125	7	20	33	28	67	62	284	360	329	740						
W.S. CENTRAL	30	26	162	68	86	-	2	8	1	8	17	43	66	93	111						
Ark.	6	3	21	11	12	-	0	3	-	2	-	3	13	10	26						
La.	-	4	12	14	24	-	0	4	1	2	-	6	19	7	11						
Okla.	N	0	0	N	N	-	0	0	-	-	-	1	5	1	2						
Tex.	24	19	141	43	50	-	2	8	-	4	17	33	47	75	72						
MOUNTAIN	2	27	53	66	156	-	2	7	-	10	1	12	25	12	23						
Ariz.	1	9	23	20	75	-	1	3	-	6	-	4	8	2	9						
Colo.	-	8	22	22	24	-	0	3	-	-	-	4	12	6	7						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	4	-	-						
Mont.	-	0	4	-	8	-	0	1	-	-	-	0	1	-	-						
Nev.	-	1	8	-	13	-	0	2	-	2	1	2	8	4	4						
N. Mex.	1	5	14	24	22	-	0	4	-	1	-	2	5	-	2						
Utah	-	3	7	-	14	-	0	3	-	1	-	0	2	-	1						
Wyo.	-	0	3	-	-	-	0	1	-	-	-	0	1	-	-						
PACIFIC	3	4	10	9	10	1	0	2	1	3	11	65	100	91	173						
Alaska	3	2	8	9	6	1	0	2	1	3	-	0	2	-	1						
Calif.	N	0	0	N	N	N	0	0	N	N	8	56	83	78	149						
Hawaii	-	1	6	-	4	-	0	1	-	-	-	0	2	-	1						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	3	11	5	5						
Wash.	N	0	0	N	N	N	0	0	N	N	2	4	10	8	17						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	6	17	11	8						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


