
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2008 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	101	175	354	621	1,105	17	103	191	229	501	11	34	148	31	43						
Ala.	-	1	6	5	14	-	0	0	-	-	-	1	10	2	7						
Ky.	-	0	4	4	1	-	0	3	2	4	-	0	2	-	-						
Miss.	-	3	32	13	11	-	0	1	-	-	-	0	2	-	1						
Tenn.	-	1	5	4	14	-	2	6	-	7	-	2	10	1	5						
W.S. CENTRAL	5	20	48	17	31	1	1	23	5	6	-	1	30	-	1						
Ark.	3	2	17	5	1	1	1	3	5	1	-	0	15	-	-						
La.	-	0	2	-	2	-	0	0	-	-	-	0	1	-	-						
Okla.	1	0	26	1	-	-	0	22	-	5	-	0	20	-	-						
Tex.	1	16	35	11	28	-	0	0	-	-	-	1	5	-	1						
MOUNTAIN	3	20	40	31	137	-	3	14	8	6	-	0	4	-	-						
Ariz.	-	3	13	3	41	-	2	12	7	5	-	0	1	-	-						
Colo.	-	6	14	5	47	-	0	0	-	-	-	0	2	-	-						
Idaho	-	0	4	1	8	-	0	0	-	-	-	0	1	-	-						
Mont.	3	0	7	7	5	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	-	4	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	-	5	-	0	2	-	-	-	0	1	-	-						
Utah	-	6	27	15	18	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	-	9	-	0	4	1	-	-	0	2	-	-						
PACIFIC	7	14	128	25	69	-	4	10	7	18	-	0	2	-	-						
Alaska	1	1	6	8	8	-	0	6	4	14	N	0	0	N	N						
Calif.	-	6	24	-	42	-	3	8	3	4	-	0	2	-	-						
Hawaii	-	0	1	-	2	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	14	5	11	-	0	3	-	-	-	0	1	-	-						
Wash.	6	3	110	12	6	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	0	5	1	6	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


