
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2013 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	187	256	525	1,606	1,787	11	20	37	65	116	72	289	366	742	1,302						
Mich.	6	11	27	83	80	-	0	3	2	3	-	4	13	-	28						
Ohio	27	21	63	211	157	-	1	6	4	7	-	8	15	10	34						
Wis.	4	9	29	76	63	-	0	2	2	4	-	2	5	7	5						
W.N. CENTRAL	8	13	24	38	94	-	1	3	4	8	2	7	14	21	34						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	4	3						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	8	22	-	61	-	0	3	-	4	-	1	5	-	8						
Mo.	N	0	0	N	N	-	0	0	-	-	1	3	7	11	20						
Nebr.	7	2	8	21	23	-	0	2	3	1	1	0	2	4	1						
N. Dak.	-	0	4	-	1	-	0	1	-	-	-	0	1	-	1						
S. Dak.	1	2	6	17	9	-	0	2	1	3	-	0	2	2	-						
S. ATLANTIC	43	57	116	436	397	2	6	13	25	30	23	65	103	174	283						
Del.	-	0	3	1	6	-	0	1	-	-	-	0	6	2	7						
D.C.	-	0	4	-	7	-	0	1	-	1	-	3	10	18	23						
Fla.	27	18	59	188	139	2	1	6	10	12	3	25	36	64	125						
Ga.	5	15	42	97	104	-	2	4	6	4	4	12	31	31	39						
Md.	8	6	24	62	47	-	0	5	2	3	6	7	15	30	24						
N.C.	N	0	0	N	N	N	0	0	N	N	-	5	21	-	28						
S.C.	3	6	17	61	60	-	0	3	2	2	6	4	9	19	26						
Va.	N	0	0	N	N	-	0	2	3	3	4	3	40	10	11						
W. Va.	-	5	33	27	34	-	0	2	2	5	-	0	2	-	-						
E.S. CENTRAL	18	22	56	175	176	1	2	5	10	12	3	14	25	13	58						
Ala.	2	2	9	26	13	1	0	3	3	-	-	4	10	-	21						
Ky.	6	4	11	37	26	-	0	1	-	-	2	3	9	6	7						
Miss.	2	3	12	25	18	-	0	2	3	3	1	3	12	7	11						
Tenn.	8	12	37	87	119	-	0	3	4	9	-	5	14	-	19						
W.S. CENTRAL	43	26	249	167	162	3	2	15	4	14	2	43	66	124	194						
Ark.	8	3	21	25	20	-	0	3	-	2	-	3	13	11	34						
La.	-	4	14	27	34	-	0	4	1	2	-	6	19	10	23						
Okla.	N	0	0	N	N	-	0	0	-	-	2	1	5	7	6						
Tex.	35	20	228	115	108	3	2	15	3	10	-	33	47	96	131						
MOUNTAIN	29	29	53	224	225	4	2	7	8	14	3	12	25	30	49						
Ariz.	21	9	30	114	108	3	1	3	6	7	-	4	8	2	19						
Colo.	-	8	22	40	36	-	0	3	-	1	-	4	12	14	15						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	4	-	2						
Mont.	-	0	4	2	10	-	0	1	-	-	-	0	1	-	-						
Nev.	4	1	8	19	16	-	0	2	-	2	1	2	8	9	7						
N. Mex.	4	5	16	46	31	1	0	4	2	3	2	1	5	3	3						
Utah	-	3	7	-	21	-	0	3	-	1	-	0	2	2	3						
Wyo.	-	0	3	3	3	-	0	1	-	-	-	0	1	-	-						
PACIFIC	3	4	10	12	19	1	0	1	2	6	19	66	99	222	317						
Alaska	3	3	8	12	12	1	0	1	2	6	-	0	2	2	2						
Calif.	N	0	0	N	N	N	0	0	N	N	12	56	82	191	266						
Hawaii	-	1	6	-	7	-	0	1	-	-	-	0	2	-	1						
Oreg.	N	0	0	N	N	N	0	0	N	N	2	3	11	16	13						
Wash.	N	0	0	N	N	N	0	0	N	N	5	4	10	13	35						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	11	5	17	29	19						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


