
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 18, 2006 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	45	49	90	383	370	80	167	213	786	946	692	557	1,778	5,371	3,341						
Minn.	-	0	15	-	-	-	1	5	2	5	-	0	0	-	-						
Mo.	1	0	3	9	8	-	2	8	14	24	25	9	69	254	1						
Nebr.	-	0	1	-	-	-	0	1	-	1	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	25	8	-						
S. Dak.	-	0	1	-	1	-	0	1	-	-	-	1	23	12	9						
S. ATLANTIC	30	21	41	211	162	24	39	90	190	209	23	46	445	310	294						
Del.	-	0	2	-	-	-	0	2	5	2	-	0	4	3	5						
D.C.	1	0	4	7	-	-	1	9	4	11	2	0	6	3	-						
Fla.	26	11	34	112	88	9	15	29	96	103	-	0	0	-	-						
Ga.	3	5	18	81	65	-	7	47	-	8	-	0	0	-	-						
Md.	-	0	0	-	-	3	6	19	30	28	-	0	0	-	-						
N.C.	N	0	0	N	N	3	4	17	35	37	-	0	0	-	-						
S.C.	-	0	0	-	-	4	1	8	5	9	-	10	41	83	61						
Va.	N	0	0	N	N	5	3	11	15	11	-	7	436	8	15						
W. Va.	-	2	8	11	9	-	0	1	-	-	21	18	61	213	213						
E.S. CENTRAL	-	3	14	20	24	6	9	18	49	60	-	0	0	-	-						
Ala.	-	0	0	-	-	-	3	11	14	32	-	0	0	-	-						
Ky.	-	0	5	3	4	-	1	4	6	2	N	0	0	N	N						
Miss.	-	0	0	-	-	-	0	5	5	6	-	0	0	-	-						
Tenn.	-	3	13	17	20	6	4	11	24	20	-	0	0	-	-						
W.S. CENTRAL	-	1	13	12	32	7	24	38	142	164	31	135	765	655	341						
Ark.	-	0	3	5	3	4	1	6	11	4	31	0	32	75	-						
La.	-	1	11	7	29	3	3	17	8	23	-	1	32	18	5						
Okla.	N	0	0	N	N	-	0	6	7	9	-	0	0	-	-						
Tex.	N	0	0	N	N	-	18	30	116	128	-	130	733	562	336						
MOUNTAIN	-	1	28	20	9	12	8	17	50	47	93	47	118	472	549						
Ariz.	N	0	0	N	N	11	3	13	32	18	-	0	0	-	-						
Colo.	N	0	0	N	N	-	1	6	4	5	74	35	87	354	395						
Idaho	N	0	0	N	N	-	0	6	-	6	-	0	0	-	-						
Mont.	-	0	1	-	-	-	0	3	-	-	-	0	0	-	-						
Nev.	-	0	27	12	1	-	2	7	13	8	-	0	4	1	-						
N. Mex.	-	0	0	-	-	-	1	3	-	8	-	3	15	11	36						
Utah	-	0	6	5	5	1	0	1	1	2	19	8	38	104	99						
Wyo.	-	0	3	3	3	-	0	0	-	-	-	0	8	2	19						
PACIFIC	-	0	0	-	-	9	33	56	115	215	-	0	0	-	-						
Alaska	-	0	0	-	-	-	0	2	-	2	-	0	0	-	-						
Calif.	N	0	0	N	N	3	28	54	79	197	-	0	0	-	-						
Hawaii	-	0	0	-	-	-	0	2	2	2	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	6	2	-	-	0	0	-	-						
Wash.	N	0	0	N	N	6	2	11	32	14	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	4	16	15	13	1	9	47	17	51						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


