
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2007 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	74	245	951	1,915	4,174	31	100	173	968	1,541	12	30	115	134	300						
Idaho	1	1	7	12	27	-	0	24	-	-	-	0	3	1	-						
Mont.	-	1	8	13	40	-	0	2	-	3	-	0	2	-	-						
Nev.	-	0	9	3	19	-	0	1	-	-	-	0	1	-	-						
N. Mex.	-	2	8	13	27	-	0	2	-	1	-	0	2	-	1						
Utah	13	10	50	139	297	-	0	1	1	-	-	0	0	-	-						
Wyo.	-	1	8	12	23	-	0	2	-	-	-	0	1	-	-						
PACIFIC	3	33	229	74	483	2	4	12	54	46	-	0	1	-	1						
Alaska	-	1	8	8	27	1	0	6	25	8	N	0	0	N	N						
Calif.	-	22	226	-	292	1	3	11	29	38	-	0	1	-	-						
Hawaii	-	1	7	7	40	N	0	0	N	N	N	0	0	N	N						
Oreg.	1	1	6	19	48	-	0	4	-	-	-	0	1	-	1						
Wash.	2	4	46	40	76	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	N	-	-	N	N						
P.R.	-	0	1	-	-	2	1	6	17	30	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


