
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2009 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2009
Varicella (chickenpox) cummulative for 2008
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2009
West Nile virus disease † Neuroinvasive cummulative for 2008
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2009
West Nile virus disease † Non-neuroinvasive § cummulative for 2008

tab delimited data:
test
UNITED STATES	173	508	1,001	173	310	-	1	76	-	-	-	1	73	-	-						
Mich.	9	58	116	9	30	-	0	4	-	-	-	0	2	-	-						
Ohio	48	46	106	48	58	-	0	3	-	-	-	0	1	-	-						
Wis.	1	4	50	1	-	-	0	2	-	-	-	0	1	-	-						
W.N. CENTRAL	22	21	71	22	11	-	0	6	-	-	-	0	21	-	-						
Iowa	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Kans.	2	6	40	2	3	-	0	2	-	-	-	0	5	-	-						
Minn.	-	0	0	-	-	-	0	2	-	-	-	0	4	-	-						
Mo.	20	10	51	20	8	-	0	3	-	-	-	0	1	-	-						
Nebr.	N	0	0	N	N	-	0	1	-	-	-	0	8	-	-						
N. Dak.	-	0	39	-	-	-	0	2	-	-	-	0	11	-	-						
S. Dak.	-	0	5	-	-	-	0	5	-	-	-	0	6	-	-						
S. ATLANTIC	24	86	173	24	89	-	0	3	-	-	-	0	3	-	-						
Del.	-	1	5	-	-	-	0	0	-	-	-	0	1	-	-						
D.C.	-	0	3	-	2	-	0	0	-	-	-	0	0	-	-						
Fla.	21	29	87	21	17	-	0	2	-	-	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
N.C.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S.C.	1	14	67	1	9	-	0	0	-	-	-	0	1	-	-						
Va.	-	21	81	-	25	-	0	0	-	-	-	0	1	-	-						
W. Va.	2	12	33	2	36	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	4	17	101	4	13	-	0	7	-	-	-	0	8	-	-						
Ala.	4	17	101	4	13	-	0	3	-	-	-	0	3	-	-						
Ky.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	2	-	-	-	0	4	-	-	-	0	7	-	-						
Tenn.	N	0	0	N	N	-	0	1	-	-	-	0	3	-	-						
W.S. CENTRAL	47	113	435	47	10	-	0	8	-	-	-	0	7	-	-						
Ark.	-	9	52	-	-	-	0	1	-	-	-	0	1	-	-						
La.	1	1	10	1	1	-	0	3	-	-	-	0	5	-	-						
Okla.	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
Tex.	46	99	422	46	9	-	0	6	-	-	-	0	4	-	-						
MOUNTAIN	-	40	90	-	28	-	0	12	-	-	-	0	22	-	-						
Ariz.	-	0	0	-	-	-	0	10	-	-	-	0	8	-	-						
Colo.	-	14	44	-	7	-	0	4	-	-	-	0	10	-	-						
Idaho	N	0	0	N	N	-	0	1	-	-	-	0	6	-	-						
Mont.	-	5	27	-	6	-	0	0	-	-	-	0	2	-	-						
Nev.	N	0	0	N	N	-	0	2	-	-	-	0	3	-	-						
N. Mex.	-	3	18	-	5	-	0	2	-	-	-	0	1	-	-						
Utah	-	12	55	-	9	-	0	2	-	-	-	0	5	-	-						
Wyo.	-	0	4	-	1	-	0	0	-	-	-	0	2	-	-						
PACIFIC	4	2	8	4	2	-	0	38	-	-	-	0	24	-	-						
Alaska	4	1	6	4	1	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	-	-	0	37	-	-	-	0	19	-	-						
Hawaii	-	1	5	-	1	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	2	-	-	-	0	4	-	-						
Wash.	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	1	17	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	7	20	-	4	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


