
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 2008 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	33	166	627	1,095	2,181	55	98	176	597	962	4	34	147	46	102						
S. ATLANTIC	5	15	48	107	239	41	40	63	410	509	2	14	111	25	52						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	2	-	4						
D.C.	-	0	1	1	2	-	0	0	-	-	-	0	1	-	-						
Fla.	1	3	9	29	76	-	0	8	27	124	-	0	3	1	3						
Ga.	1	0	3	2	13	16	5	31	86	49	-	0	6	3	3						
Md.	1	2	6	15	37	7	9	18	86	78	2	1	6	7	10						
N.C.	-	4	34	35	59	9	9	19	87	93	-	5	96	11	22						
S.C.	2	1	22	14	19	-	0	11	-	28	-	0	7	-	4						
Va.	-	2	11	10	29	-	12	31	102	121	-	2	11	2	6						
W. Va.	-	0	12	-	3	9	0	11	22	16	-	0	3	1	-						
E.S. CENTRAL	1	6	35	47	66	-	3	7	14	27	-	5	16	3	20						
Ala.	-	1	6	15	19	-	0	0	-	-	-	1	10	2	9						
Ky.	-	0	4	6	3	-	0	3	3	6	-	0	2	-	-						
Miss.	-	3	32	18	12	-	0	1	-	-	-	0	3	-	1						
Tenn.	1	1	5	8	32	-	2	6	11	21	-	2	10	1	10						
W.S. CENTRAL	-	20	112	40	98	2	1	23	11	15	1	1	30	3	2						
Ark.	-	2	17	7	9	1	1	3	10	6	-	0	15	-	-						
La.	-	0	2	-	5	-	0	0	-	-	-	0	2	1	1						
Okla.	-	0	26	1	-	1	0	22	1	9	-	0	20	-	-						
Tex.	-	16	102	32	84	-	0	0	-	-	1	1	7	2	1						
MOUNTAIN	11	19	40	121	309	-	2	8	8	1	-	0	4	1	1						
Ariz.	-	2	10	13	92	N	0	0	N	N	-	0	1	-	-						
Colo.	3	5	14	22	84	-	0	0	-	-	-	0	2	-	-						
Idaho	2	0	4	6	9	-	0	4	-	-	-	0	1	-	1						
Mont.	6	1	11	35	10	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	7	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	2	12	-	0	2	7	-	-	0	1	1	-						
Utah	-	5	27	41	84	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	-	11	-	0	4	1	-	-	0	2	-	-						
PACIFIC	1	17	243	98	178	1	4	10	18	41	-	0	2	-	1						
Alaska	-	1	6	17	9	-	0	3	6	21	N	0	0	N	N						
Calif.	-	9	32	13	120	1	3	8	12	20	-	0	2	-	1						
Hawaii	-	0	2	2	8	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	2	14	18	14	-	0	3	-	-	-	0	1	-	-						
Wash.	1	3	209	48	27	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	4	0	5	8	15	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


