
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending March 16, 2013 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	50	259	401	1,185	2,409	-	4	12	15	20	-	52	230	53	168						
Ohio	18	28	103	311	155	-	0	0	-	-	-	0	3	1	3						
Wis.	-	2	18	9	13	-	0	0	-	-	-	0	3	-	4						
W.N. CENTRAL	1	8	32	43	66	-	0	6	-	1	-	6	33	-	16						
Iowa	-	1	11	13	4	-	0	0	-	-	-	0	1	-	-						
Kans.	-	2	6	6	36	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	1	1	7	8	22	-	0	5	-	1	-	6	33	-	16						
Nebr.	-	2	22	11	3	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	1	3	1	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	3	2	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	15	54	102	219	499	-	2	9	14	9	-	14	147	31	45						
Del.	-	0	4	2	1	-	0	0	-	-	-	0	2	2	5						
D.C.	-	0	3	-	7	-	0	0	-	-	-	0	1	-	-						
Fla.	8	29	66	81	262	-	0	1	-	-	-	0	3	1	3						
Ga.	7	11	21	83	141	-	1	5	13	6	-	0	0	-	-						
Md.	-	4	16	14	42	-	0	0	-	-	-	0	3	4	5						
N.C.	-	2	10	16	24	-	0	4	-	-	-	1	133	6	5						
S.C.	-	1	3	13	4	-	0	1	1	2	-	1	6	5	2						
Va.	-	1	6	9	16	-	0	2	-	1	-	4	35	13	25						
W. Va.	-	0	3	1	2	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	1	20	41	83	312	-	0	2	-	-	-	12	57	14	25						
Ala.	-	5	20	28	77	-	0	1	-	-	-	3	14	2	6						
Ky.	-	5	21	14	127	-	0	1	-	-	-	0	7	2	1						
Miss.	1	4	13	27	71	-	0	2	-	-	-	0	4	-	-						
Tenn.	-	3	9	14	37	-	0	1	-	-	-	10	49	10	18						
W.S. CENTRAL	2	45	92	194	426	-	0	2	-	-	-	11	73	-	29						
Ark.	-	2	7	18	11	-	0	1	-	-	-	8	65	-	16						
La.	-	3	10	24	43	-	0	0	-	-	-	0	2	-	1						
Okla.	2	7	27	36	80	-	0	1	-	-	-	0	26	-	2						
Tex.	-	31	89	116	292	-	0	1	-	-	-	1	6	-	10						
MOUNTAIN	1	11	32	41	62	-	0	2	-	5	-	0	5	-	19						
Ariz.	-	6	18	18	38	-	0	2	-	5	-	0	3	-	15						
Colo.	-	2	19	3	5	-	0	1	-	-	-	0	1	-	-						
Idaho	-	0	2	-	2	-	0	0	-	-	-	0	1	-	2						
Mont.	-	0	2	-	3	-	0	0	-	-	-	0	1	-	-						
Nev.	1	0	9	11	1	-	0	1	-	-	-	0	0	-	-						
N. Mex.	-	1	7	5	9	-	0	0	-	-	-	0	1	-	-						
Utah	-	0	4	3	4	-	0	0	-	-	-	0	1	-	2						
Wyo.	-	0	3	1	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	4	16	41	90	113	-	0	2	-	-	-	0	2	1	3						
Alaska	-	0	2	-	3	N	0	0	N	N	N	0	0	N	N						
Calif.	1	12	33	56	83	-	0	2	-	-	-	0	1	1	3						
Hawaii	-	0	5	11	2	N	0	0	N	N	N	0	0	N	N						
Oreg.	1	1	10	11	16	-	0	0	-	-	-	0	1	-	-						
Wash.	2	1	19	12	9	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	1	3	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	N	-	-	N	N	N	-	-	N	N						
P.R.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


