
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2006 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	13,035	18,551	24,089	131,945	162,070	130	95	1,203	994	820	25	69	847	340	303						
Ariz.	538	316	516	2,909	3,720	98	67	204	613	462	-	0	1	2	3						
Colo.	-	250	376	991	2,478	N	0	0	N	N	1	1	3	3	5						
Idaho	-	47	235	450	275	N	0	0	N	N	-	0	2	-	1						
Mont.	82	42	180	168	428	N	0	0	N	N	1	0	3	2	-						
Nev.	-	138	465	1,000	1,277	-	1	4	10	17	-	0	2	1	3						
N. Mex.	58	162	338	1,518	1,363	-	0	2	-	3	-	0	3	-	6						
Utah	-	86	132	439	757	-	0	3	5	2	-	0	3	6	2						
Wyo.	17	23	43	238	200	-	0	2	2	-	-	0	2	-	2						
PACIFIC	2,403	3,178	4,593	23,398	28,143	31	28	1,114	357	334	-	6	50	12	45						
Alaska	75	77	121	529	595	-	0	0	-	-	-	0	2	-	-						
Calif.	1,525	2,454	3,829	17,752	21,780	31	28	1,114	357	334	-	3	14	-	37						
Hawaii	9	106	133	855	962	N	0	0	N	N	-	0	1	-	-						
Oreg.	190	168	315	1,150	1,541	N	0	0	N	N	-	1	20	12	8						
Wash.	604	362	485	3,112	3,265	N	0	0	N	N	-	0	36	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	72	141	490	638	N	0	0	N	N	N	0	0	N	N						
V.I.	-	4	12	-	81	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


