
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2008 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	64	158	1,132	2,276	3,424	39	95	177	1,362	2,124	4	31	165	113	305						
Fla.	1	3	9	62	99	-	0	25	46	124	-	0	3	2	3						
Ga.	-	0	3	-	16	-	6	17	110	87	-	0	6	5	16						
Md.	-	2	6	27	51	-	9	18	128	144	-	1	6	11	16						
N.C.	-	1	38	59	130	11	9	19	181	187	-	1	96	11	58						
S.C.	-	1	22	22	36	-	0	0	-	46	-	0	7	2	9						
Va.	-	2	11	32	42	-	12	27	211	266	-	2	11	7	17						
W. Va.	-	0	12	2	7	3	0	11	41	32	-	0	3	1	1						
E.S. CENTRAL	2	7	31	76	97	1	3	7	39	60	2	4	16	18	69						
Ala.	-	1	6	18	30	-	0	0	-	-	-	1	10	7	16						
Ky.	-	0	4	7	9	1	0	3	13	8	-	0	2	-	1						
Miss.	1	3	29	34	15	-	0	1	1	-	-	0	3	1	3						
Tenn.	1	1	4	17	43	-	2	6	25	52	2	1	10	10	49						
W.S. CENTRAL	8	19	186	153	284	7	13	40	42	448	-	2	122	12	7						
Ark.	1	2	17	22	58	4	1	6	26	10	-	0	15	1	-						
La.	-	0	2	2	9	-	0	0	-	-	-	0	2	2	1						
Okla.	-	0	26	4	1	3	0	32	16	20	-	0	101	4	-						
Tex.	7	16	170	125	216	-	12	34	-	418	-	1	8	5	6						
MOUNTAIN	5	19	37	277	476	-	2	8	18	4	-	0	4	3	7						
Ariz.	1	2	8	43	128	N	0	0	N	N	-	0	1	2	1						
Colo.	-	4	13	31	118	-	0	0	-	-	-	0	2	-	-						
Idaho	3	0	4	17	20	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	11	56	26	-	0	3	-	-	-	0	1	-	-						
Nev.	1	0	7	13	14	-	0	2	1	-	-	0	0	-	-						
N. Mex.	-	1	7	21	23	-	0	2	13	1	-	0	1	1	1						
Utah	-	5	27	94	132	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	2	15	-	0	4	4	2	-	0	2	-	4						
PACIFIC	8	14	616	277	208	3	4	10	53	86	-	0	1	2	1						
Alaska	-	1	6	25	13	-	0	3	11	31	N	0	0	N	N						
Calif.	-	8	129	105	149	3	3	8	41	55	-	0	1	1	1						
Hawaii	-	0	2	4	10	-	0	0	-	-	N	0	0	N	N						
Oreg.	2	2	14	44	36	-	0	3	1	-	-	0	1	1	-						
Wash.	6	0	482	99	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	2	1	5	26	19	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


