
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2007 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	67	254	1,377	2,875	5,601	30	90	168	1,357	1,990	37	23	156	272	458						
Utah	5	10	48	167	377	1	0	1	2	1	-	0	0	-	-						
Wyo.	-	1	8	12	31	-	0	2	1	1	-	0	1	-	1						
PACIFIC	2	25	546	113	544	5	4	13	83	78	-	0	1	-	1						
Alaska	1	1	8	11	31	3	0	6	33	13	N	0	0	N	N						
Calif.	-	22	225	-	397	2	3	12	50	63	-	0	0	-	-						
Hawaii	-	0	5	9	51	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	11	41	65	-	0	4	-	2	-	0	1	-	1						
Wash.	1	0	376	52	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	N	-	-	N	N						
P.R.	-	0	1	-	-	-	1	6	19	45	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


