
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2006 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	30	45	91	30	49	18	159	210	18	126	211	502	1,756	211	377						
Ariz.	N	0	0	N	N	2	3	13	2	2	-	0	0	-	-						
Colo.	N	0	0	N	N	-	1	6	-	1	-	37	87	-	53						
Idaho	N	0	0	N	N	-	0	6	-	-	-	0	0	-	-						
Mont.	-	0	1	-	-	-	0	3	-	-	-	0	0	-	-						
Nev.	-	0	27	-	-	-	1	5	-	1	-	0	4	-	-						
N. Mex.	-	0	0	-	-	-	1	3	-	-	-	3	15	-	1						
Utah	-	0	6	-	-	-	0	1	-	-	-	7	38	-	-						
Wyo.	-	0	3	-	-	-	0	0	-	-	-	0	8	-	1						
PACIFIC	-	0	0	-	-	-	33	53	-	28	-	0	0	-	-						
Alaska	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
Calif.	N	0	0	N	N	-	28	51	-	28	-	0	0	-	-						
Hawaii	-	0	0	-	-	-	0	2	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	6	-	-	-	0	0	-	-						
Wash.	N	0	0	N	N	-	2	11	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	3	15	-	-	-	9	47	-	3						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


