Kans.	-	7	16	96	89	-	0	4	6	2	-	2	11	9	26						
Minn.	10	11	60	151	136	2	3	26	30	31	2	5	24	84	23						
Mo.	14	15	35	210	166	1	3	13	18	24	61	14	68	526	131						
Nebr.	-	3	9	34	59	2	1	11	12	8	-	1	14	6	26						
N. Dak.	-	0	5	8	6	-	0	0	-	-	-	0	18	4	4						
S. Dak.	-	3	11	44	34	-	0	5	-	3	1	6	24	13	23						
S. ATLANTIC	79	226	395	2,459	2,091	11	12	32	153	96	72	70	143	1,165	698						
Del.	-	2	10	22	23	-	0	3	4	1	-	0	2	4	-						
D.C.	-	1	4	8	19	-	0	1	-	-	1	0	5	4	3						
Fla.	56	95	176	1,057	950	3	2	8	46	16	67	36	76	757	300						
Ga.	-	34	66	408	287	-	1	7	16	16	-	24	54	318	248						
Md.	9	14	32	175	91	3	2	9	28	8	1	1	10	23	17						
N.C.	2	29	130	377	373	-	2	11	23	21	-	1	14	19	65						
S.C.	3	19	55	187	142	-	0	3	2	3	1	0	10	17	48						
Va.	8	20	58	193	182	5	3	11	33	31	2	2	9	22	17						
W. Va.	1	1	31	32	24	-	0	5	1	-	-	0	2	1	-						
E.S. CENTRAL	24	53	138	523	463	3	4	21	28	43	10	12	75	226	192						
Ala.	7	9	70	128	147	1	0	5	5	4	8	4	66	87	38						
Ky.	8	9	23	123	94	1	1	12	9	12	-	2	15	29	100						
Miss.	-	12	62	62	91	-	0	0	-	-	-	1	45	45	26						
Tenn.	9	17	32	210	131	1	2	9	14	27	2	4	14	65	28						
W.S. CENTRAL	13	84	186	319	735	2	3	52	31	28	23	38	192	318	375						
Ark.	7	14	45	100	234	-	0	7	5	2	6	2	10	36	27						
La.	-	17	42	94	71	-	0	1	-	-	-	3	24	57	8						
Okla.	6	9	40	89	61	1	0	17	8	2	1	2	9	16	28						
Tex.	-	46	107	36	369	1	2	48	18	24	16	31	174	209	312						
MOUNTAIN	21	52	87	627	615	4	8	36	64	64	7	26	87	201	227						
Ariz.	8	18	45	242	175	1	2	13	25	17	5	11	35	104	118						
Colo.	-	12	30	143	170	-	1	8	9	16	-	3	15	30	32						
Idaho	2	3	9	37	41	-	1	8	4	10	1	0	3	4	6						
Mont.	-	2	10	28	33	-	0	0	-	-	-	0	13	9	1						
Nev.	-	4	20	46	43	-	0	5	4	10	-	1	20	11	24						
N. Mex.	-	5	15	46	56	-	1	5	9	5	-	2	15	25	31						
Utah	9	4	14	65	77	3	1	14	13	5	1	1	4	6	12						
Wyo.	2	0	4	20	20	-	0	3	-	1	-	0	19	12	3						
PACIFIC	32	116	306	1,243	1,269	3	5	24	58	29	6	32	94	310	499						
Alaska	-	1	5	22	28	N	0	0	N	N	-	0	2	6	4						
Calif.	12	89	218	956	949	-	0	5	31	N	3	28	81	244	378						
Hawaii	1	4	16	58	73	-	0	3	3	4	-	1	3	12	13						
Oreg.	2	7	17	75	118	-	1	9	9	17	-	1	6	15	57						
Wash.	17	11	83	132	101	3	2	22	15	8	3	2	13	33	47						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	N	-	-	N	N	-	-	-	-	-						
P.R.	3	14	65	131	75	-	0	0	-	-	-	0	6	5	3						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


